Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,257.4,224.3,33.06,0,87.16,6.169,12.69,51.89,60.3,6.665,5.591,12.26,45.62,16.2,56,74.66
COMP2,249.3,211.6,37.65,0,84.9,7.025,14.45,48.85,59.03,7.377,6.974,14.35,48.59,20.85,54.43,77.48
IHX,165.1,115.5,49.62,0,69.95,9.258,19.04,44.38,49.99,13.34,1.378,14.71,9.366,61.01,74.66,120.2
MOT1,270.6,257.1,13.53,0,95,2.525,5.193,49.23,51.73,2.461,1.347,3.808,35.37,5.08,50.52,55.88
MOT2,262.4,249.3,13.12,0,95,2.448,5.036,47.73,48.85,2.387,0,2.387,0,2.343,50.52,54.43
SNK_HX,272.9,261.9,10.99,0,95.97,2.051,4.219,91.44,95.94,3.684,3.557,7.241,49.12,9.319,93.09,101.8
SRC_HX,32.73,10.62,22.1,0,32.46,4.124,8.483,17.98,21.95,12.15,2.083,14.23,14.64,276,152.6,573.9
VAL1,59.22,33.03,26.19,0,55.78,4.886,10.05,15.92,18.15,7.039,0,7.039,0,104.4,74.66,152.6
VAL2,54.3,,54.3,0,,10.13,20.84,17.58,,17.58,0,17.58,0,inf,89.93,
TOT,535.9,261.9,260.6,13.52,48.86,48.62,100,96.96,117.9,47.14,20.93,68.07,30.75,148.8,50.25,125
