Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,181.5,152.1,29.38,0,83.81,5.566,12.96,36.55,46.06,5.918,3.953,9.872,40.05,26.03,55.95,84.14
COMP2,231.6,196.6,34.97,0,84.9,6.624,15.42,46.64,59.8,7.043,6.534,13.58,48.13,28.2,55.95,84.48
IHX,147.5,124.6,22.94,0,84.45,4.346,10.12,42.04,51.03,6.537,4.651,11.19,41.57,43.75,79.14,113.8
MOT1,191,181.5,9.551,0,95,1.809,4.212,34.74,36.55,1.737,0,1.737,0,5.203,50.52,55.95
MOT2,243.8,231.6,12.19,0,95,2.309,5.375,44.34,46.64,2.217,0,2.217,0,5.203,50.52,55.95
SNK_HX,272.9,261.9,11,0,95.97,2.084,4.851,94.53,100.2,3.811,3.573,7.384,48.39,10.43,96.23,106.3
SRC_HX,53.86,31.84,22.02,0,59.11,4.172,9.712,3.747e-14,6.557,1.532e-14,2.389,2.389,100,inf,1.932e-13,57.2
VAL1,36.37,,36.37,0,,6.89,16.04,10.58,,10.58,0,10.58,0,inf,80.83,
VAL2,48.34,,48.34,0,,9.158,21.32,16.3,,16.3,0,16.3,0,inf,93.68,
TOT,527.9,261.9,226.8,39.26,49.61,42.96,100,79.08,100.2,33.97,21.1,55.07,38.31,155.4,41.61,106.3
