f1,f2,ls,T_src,T_steam,no_solve_class,label_c1,label_c2,Q_H_kW,m_steam [kg/s],m_steam [kg/h],V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],W_comp1 [kW],W_comp2 [kW],W_el [kW],scale_k,COP,eta_Lorenz,p_low_c1 [bar],p_high_c1 [bar],T_disch_c1 [°C],p_low_c2 [bar],p_high_c2 [bar],T_disch_c2 [°C],p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,feasible,reason,status,status_4state
R717,R600a,0.5,30,110.0,,R717-HP,R600a,1114.82,0.5,1800.0,444.0,813.1,236.2,247.62,509.29,1.0,2.189,0.486,7.27,41.41,185.1,10.88,26.02,117.9,True,True,False,True,False,False,False,"T_c1, V_c1, V_c2",ok,HARD
R717,R600a,0.5,40,110.0,,R717-HP,R600a,1114.82,0.5,1800.0,363.3,720.9,226.27,215.04,464.53,1.0,2.4,0.472,9.8,46.1,176.5,12.11,26.02,118.3,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R717,R600a,0.5,50,110.0,,R717-HP,R600a,1114.82,0.5,1800.0,301.4,640.0,215.4,183.8,420.22,1.0,2.653,0.455,12.96,51.16,169.5,13.44,26.02,118.6,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R717,R600a,0.5,60,110.0,,R717-HP,R600a,1114.82,0.5,1800.0,253.3,568.8,203.71,153.89,376.42,1.0,2.962,0.433,16.85,56.64,163.8,14.87,26.02,118.9,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R717,R600a,0.6,20,110.0,,R717-HP,R600a,1114.82,0.5,1800.0,593.6,738.4,296.29,221.45,544.99,1.0,2.046,0.506,5.25,45.13,218.2,11.85,26.02,118.2,True,True,False,True,False,False,False,"T_c1, V_c1, V_c2",ok,HARD
R717,R600a,0.6,30,110.0,,R717-HP,R600a,1114.82,0.5,1800.0,473.2,671.1,281.18,196.14,502.45,1.0,2.219,0.493,7.24,49.09,204.5,12.89,26.02,118.5,True,True,False,True,False,False,False,"T_c1, V_c1, V_c2",ok,HARD
R717,R600a,0.6,40,110.0,,R717-HP,R600a,1114.82,0.5,1800.0,383.5,610.4,265.26,171.68,459.94,1.0,2.424,0.477,9.78,53.3,192.9,14.0,26.02,118.7,False,True,False,True,False,False,False,"p_c1, T_c1, V_c1, V_c2",ok,HARD
R717,R600a,0.6,50,110.0,,R717-HP,R600a,1114.82,0.5,1800.0,315.5,555.6,248.6,148.06,417.54,1.0,2.67,0.458,12.95,57.79,183.0,15.17,26.02,119.0,False,True,False,True,False,False,False,"p_c1, T_c1, V_c1, V_c2",ok,HARD
R717,R600a,0.6,60,110.0,,R717-HP,R600a,1114.82,0.5,1800.0,263.0,505.9,231.27,125.26,375.29,1.0,2.971,0.435,16.84,62.55,174.8,16.42,26.02,119.3,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R717,R600a,0.7,20,110.0,,R717-HP,R600a,1114.82,0.5,1800.0,632.7,596.2,350.28,165.7,543.14,1.0,2.053,0.508,5.24,54.4,240.1,14.29,26.02,118.8,False,True,False,True,False,False,False,"p_c1, T_c1, V_c1, V_c2",ok,HARD
