Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,214.9,186.4,28.44,0,86.76,5.016,11.63,44.41,52.83,5.878,3.19,9.069,35.18,18.95,57.42,78.72
COMP2,235.2,200.9,34.32,0,85.41,6.054,14.04,47.31,58.68,6.903,5.059,11.96,42.29,24.02,55.87,81.13
IHX,194.2,157.6,36.59,0,81.16,6.454,14.97,52.32,61.93,9.856,2.88,12.74,22.61,45.82,74.83,109.1
MOT1,226.2,214.9,11.31,0,95,1.995,4.626,41.14,44.41,2.057,1.199,3.256,36.82,7.967,50.52,57.42
MOT2,247.6,235.2,12.38,0,95,2.184,5.065,45.04,47.31,2.252,0,2.252,0,5.053,50.52,55.87
SNK_HX,291,280.1,10.94,0,96.24,1.93,4.475,98.68,104.7,3.71,4.029,7.739,52.07,10.27,94.2,103.9
SRC_HX,50.74,31.01,19.73,0,61.12,3.48,8.069,2.498e-14,5.816,9.711e-15,2.19,2.19,100,inf,1.368e-13,52.1
VAL1,23.2,,23.2,0,,4.092,9.488,6.324,,6.324,0,6.324,0,inf,75.74,
VAL2,67.57,,67.57,0,,11.92,27.64,21.93,,21.93,0,21.93,0,inf,90.15,
TOT,566.9,280.1,244.5,42.38,49.4,43.12,100,86.17,104.7,37.16,18.55,55.71,33.29,146,42.22,103.9
