Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg]
11,23.744421027321426,20.000000000012847,3.0000000000000004,84.19424925876591,296.4216479103904,4.725680268806957,0.19902276258365578,-1.588712223110633e-10,0.199022762742527
12,23.744421027321426,20.001115997730494,3.1500000000000004,84.21303115883883,296.4344617305574,5.082452748203159,0.21404829127461372,8.852923361502007e-09,0.21404828242169036
13,23.744421027321426,9.999999999997783,3.0000000000000004,42.312658505312875,151.05947575370618,22.09068803776306,0.9303527768625941,0.731330014120067,0.199022762742527
21,4.76667272639281,9.090529116191817,6.586953839856879,589.8756423838996,2405.768887473333,494.4719029234489,103.7352323740593,0.35469061655440964,103.3805417575049
22,4.76667272639281,99.4441357639717,31.152435567850404,695.3380394105229,2480.4725681832792,892.7894380520856,187.29824540056183,58.22855119059852,129.06969420996333
22c,4.76667272639281,65.08403653118506,30.852435567850403,381.15560922989766,1575.0140365758793,660.4271955067638,138.55098376064592,9.538880946829144,129.01210281381674
23,4.76667272639281,65.08403653118506,30.852435567850403,381.15560922989766,1575.0140365758793,660.4271955067638,138.55098376064592,9.538880946829144,129.01210281381674
24,4.76667272639281,4.999999999997726,6.761953839856879,381.15560922989766,1651.0738009273373,554.1450754432993,116.25406384101598,11.52089047048625,104.73317337052973
31,2.5525396439775676,64.84858230675673,26.048539532810736,1655.6934634735892,5492.546956935423,1098.3722553914236,430.3056596918721,134.52718097933777,295.7784787125343
32,2.5525396439775676,206.1604108220987,100.26666006840466,1931.4574611905437,5645.251345215266,1688.0056109111176,661.3043659845905,353.460124772677,307.8442412119135
32c,2.5525396439775676,125.2126620950138,100.01666006840466,1068.9817841516906,3562.511058931816,1044.9688994877536,409.3840038697307,101.58020308363153,307.80380078609915
33,2.5525396439775676,125.2126620950138,100.01666006840466,1068.9817841516906,3562.511058931816,1044.9688994877536,409.3840038697307,101.58020308363153,307.80380078609915
34,2.5525396439775676,60.08403653118489,26.198539532810734,1068.9817841516906,3730.0920342133018,919.5719106114583,360.2576409659633,64.4546504794599,295.80299048650335
41,1.0,120.21009132796223,2.0,504.7041850380444,1530.1740813513566,59.03443267864294,59.03443267864294,58.93558268957684,0.09884998906610508
42,1.0,120.21266209501312,2.1750000000000003,504.72738373191606,1530.1858764342837,59.05417364395452,59.05417364395452,58.937793087585014,0.11638055636950606
43,1.0,120.21009132796223,2.0,2706.230741339982,7126.894757487327,619.8823227713206,619.8823227713206,619.7834727822544,0.09884998906610508
