Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,240,202.5,37.51,0,84.37,8.315,17.92,47.79,57.49,7.472,4.204,11.68,36.01,20.29,55.32,78.88
COMP2,112.5,95.14,17.37,0,84.56,3.849,8.297,22.41,29.65,3.459,4.703,8.162,57.62,32.34,55.32,86.58
IHX,198.7,172.9,25.87,0,86.98,5.734,12.36,48.24,54.06,6.28,2.027,8.307,24.4,28.82,67.43,86.87
MOT1,252.6,240,12.63,0,95,2.799,6.034,45.94,47.79,2.297,0,2.297,0,4.026,50.52,55.32
MOT2,118.4,112.5,5.921,0,95,1.312,2.829,21.54,22.41,1.077,0,1.077,0,4.026,50.52,55.32
SNK_HX,253.7,241.9,11.8,0,95.35,2.616,5.639,79.24,84.64,3.687,3.667,7.354,49.87,12.02,86.77,97.2
SRC_HX,80.15,55.97,24.18,0,69.84,5.358,11.55,1.249e-13,6.094,3.767e-14,2.553,2.553,100,inf,4.329e-13,30.24
VAL1,59.7,,59.7,0,,13.23,28.53,15.34,,15.34,0,15.34,0,inf,71.38,
VAL2,14.32,,14.32,0,,3.174,6.841,4.469,,4.469,0,4.469,0,inf,86.7,
TOT,451.2,241.9,209.3,0,53.61,46.39,100,67.48,84.64,31.31,17.15,48.46,35.4,133.9,41.55,97.2
