Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,218.2,183,35.15,0,83.89,6.259,11.85,43.64,53.79,7.03,4.466,11.5,38.85,23.27,55.55,81.63
COMP2,302.6,257,45.57,0,84.94,8.114,15.36,60.51,74.81,9.114,6.921,16.04,43.16,23.63,55.55,80.85
IHX,126.4,102.2,24.22,0,80.85,4.312,8.16,66.83,75.06,12.8,4.315,17.11,25.21,38.93,146.8,204
MOT1,229.7,218.2,11.48,0,95,2.045,3.87,41.78,43.64,2.089,0,2.089,0,4.448,50.52,55.55
MOT2,318.5,302.6,15.93,0,95,2.836,5.366,57.93,60.51,2.897,0,2.897,0,4.448,50.52,55.55
SNK_HX,273,261.9,11.12,0,95.93,1.98,3.747,115.8,121.4,4.717,3.749,8.466,44.29,9.241,117.8,128.7
SRC_HX,19.41,0.002415,19.41,0,0.01244,3.456,6.54,31.17,36.5,31.17,2.188,33.35,6.56,9.411e+05,446,4.198e+06
VAL1,56.62,8.983,47.63,0,15.87,8.481,16.05,23.46,31.17,19.74,0,19.74,0,737.3,115.1,963.8
VAL2,86.25,,86.25,0,,15.36,29.06,34.06,,34.06,0,34.06,0,inf,109.7,
TOT,561.7,261.9,296.8,3.015,46.62,52.84,100,99.71,121.4,52.69,21.64,74.33,29.11,161,49.31,128.7
