label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_PUMP,30.0,30.0,3.0,126.004,0.4367,0.030128,33.191,3253.87,697.18,199.02,896.2
12,water (source),SRC_PUMP,SRC_HX,30.0,30.0,3.15,126.023,0.4367,0.030128,33.191,3253.85,697.34,214.05,911.39
13,water (source),SRC_HX,source outlet,30.0,19.77,3.0,83.243,0.2932,0.03005,33.278,3245.37,0.37,199.02,199.39
21,R717,SRC_HX,COMP1,1.3984,19.04,7.052,1635.352,5.9779,0.258421,3.87,1300.96,4.48,267664.97,267669.44
22,R717,COMP1,IHX,1.3984,187.98,41.7083,1987.645,6.135,0.068763,14.543,346.17,275597.38,298334.63,573932.02
22c,R717,IHX,cc1,1.3984,74.99,41.4083,717.6,2.662,0.002703,369.896,13.61,23702.52,298285.72,321988.24
23,R717,cc1,VAL1,1.3984,74.99,41.4083,717.6,2.662,0.002703,369.896,13.61,23702.52,298285.72,321988.24
24,R717,VAL1,SRC_HX,1.3984,14.77,7.227,717.6,2.7799,0.063481,15.753,319.58,16548.98,270870.45,287419.43
31,R600,IHX,COMP2,9.71145,74.19,7.9408,693.499,2.495,0.50952,1.963,17813.43,55723.05,29672.34,85395.4
32,R600,COMP2,SNK_HX,9.71145,116.7,20.4811,740.206,2.519,0.175286,5.705,6128.21,93230.1,31832.42,125062.52
32c,R600,SNK_HX,cc2,9.71145,115.0,20.2311,510.619,1.9287,0.022209,45.027,776.45,36733.53,31789.43,68522.96
33,R600,cc2,VAL2,9.71145,115.0,20.2311,510.619,1.9287,0.022209,45.027,776.45,36733.53,31789.43,68522.96
34,R600,VAL2,IHX,9.71145,70.0,8.0908,510.619,1.96,0.223459,4.475,7812.41,29652.9,29698.23,59351.12
41,water (sink),sink inlet,SNK_PUMP,1.0,110.0,1.4338,461.415,1.4188,0.001052,950.948,3.79,48344.92,42.13,48387.05
42,water (sink),SNK_PUMP,SNK_HX,1.0,110.0,1.6088,461.438,1.4188,0.001052,950.955,3.79,48346.87,59.66,48406.53
43,water (sink),SNK_HX,sink outlet,1.0,110.0,1.4338,2691.061,7.2381,1.209293,0.827,4353.45,572077.54,42.13,572119.67
