Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,217.3,182.3,34.98,0,83.9,7.207,14.37,43.95,55.29,7.073,4.179,11.25,37.14,25.81,56.18,84.23
COMP2,212.7,179.8,32.88,0,84.54,6.775,13.51,43.02,55.56,6.65,5.808,12.46,46.62,29.15,56.18,85.82
IHX,146.3,119.9,26.49,0,81.9,5.457,10.88,47.92,57.66,8.673,4.314,12.99,33.22,46.91,90.97,133.6
MOT1,228.7,217.3,11.44,0,95,2.357,4.698,41.61,43.95,2.08,0,2.08,0,5.628,50.52,56.18
MOT2,223.9,212.7,11.2,0,95,2.307,4.599,40.72,43.02,2.036,0,2.036,0,5.628,50.52,56.18
SNK_HX,253.7,241.9,11.82,0,95.34,2.435,4.854,96.57,102.7,4.499,3.712,8.21,45.21,11.54,105.7,117.9
SRC_HX,32.68,9.338,23.35,0,28.57,4.81,9.59,-1.249e-13,7.142,-8.922e-14,2.362,2.362,100,inf,-1.062e-12,212.4
VAL1,45.32,,45.32,0,,9.339,18.62,14.51,,14.51,0,14.51,0,inf,88.9,
VAL2,45.99,,45.99,0,,9.476,18.89,16.64,,16.64,0,16.64,0,inf,100.5,
TOT,485.3,241.9,243.4,0,49.84,50.16,100,82.33,102.7,41.3,20.37,61.67,33.04,150.3,47.12,117.9
