Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,30,30,3,126,436.7,26.89,0.8962,0.6972,0.199,0,-1.952e-15,-1.952e-15,0,-9.079e-14,-2.016e-14
12,30,30,3.15,126,436.7,27.34,0.9114,0.6973,0.214,0.02308,2.13,2.153,0.3065,92.12,21.87
13,30,21.14,3,88.95,312.6,6.246,0.2082,0.00919,0.199,0.0003042,1.98,1.98,0.3065,92.12,88.07
21,1.248,20.43,7.386,1637,5962,341.6,273.7,0.0008888,273.7,36.95,83.12,120.1,9.254e+06,67.6,97.65
22,1.248,196.7,46.39,2004,6122,741,593.7,294.6,299.1,126.4,90.83,217.3,95.51,67.6,81.45
22c,1.248,79.99,46.09,745.4,2739,408.5,327.3,28.26,299,12.13,90.82,102.9,95.51,67.6,70.01
23,1.248,79.99,46.09,745.4,2739,408.5,327.3,28.26,299,12.13,90.82,102.9,95.51,67.6,70.01
24,1.248,16.14,7.561,745.4,2871,360.1,288.5,11.79,276.8,26.35,84.05,110.4,497.4,67.6,85.16
31,14.89,79.41,11.96,662.5,2389,1489,99.97,54.95,45.02,326.9,166.9,493.8,111,69.15,92.13
32,14.89,129.4,31.13,704.9,2411,2028,136.2,87.75,48.45,448.5,179.6,628,95.33,69.15,86.02
32c,14.89,125,30.88,557,2040,1444,96.95,48.55,48.4,248.1,179.4,427.5,95.33,69.15,82.26
33,14.89,125,30.88,557,2040,1444,96.95,48.55,48.4,248.1,179.4,427.5,95.33,69.15,82.26
34,14.89,75,12.11,557,2085,1246,83.66,38.6,45.05,197.3,167,364.3,95.33,69.15,81.23
41,1,120,1.987,503.8,1528,58.81,58.81,58.71,0.09752,0,-0,0,0,-0,0
42,1,120,2.162,503.8,1528,58.83,58.83,58.71,0.1151,0.2253,1.791,2.016,1.066,4324,9.521
43,1,120,1.987,2706,7129,618.9,618.9,618.8,0.09752,212.5,1.518,216,95.37,4324,96.93
