f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,component,PEC [EUR],PEC [EUR/kW]
R1270,R600,R1270/R600,0.4,50.0,110.0,2.491,0.426,V_OUT,COMP2,284713.5,255.39
R1270,R600,R1270/R600,0.4,50.0,110.0,2.491,0.426,V_OUT,IHX,209403.8,187.84
R1270,R600,R1270/R600,0.4,50.0,110.0,2.491,0.426,V_OUT,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.4,50.0,110.0,2.491,0.426,V_OUT,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.4,50.0,110.0,2.491,0.426,V_OUT,SNK_HX,178114.1,159.77
R1270,R600,R1270/R600,0.4,50.0,110.0,2.491,0.426,V_OUT,SRC_HX,118200.0,106.03
R1270,R600,R1270/R600,0.5,20.0,110.0,1.952,0.482,V_OUT,COMP1,296156.8,265.65
R1270,R600,R1270/R600,0.5,20.0,110.0,1.952,0.482,V_OUT,COMP2,344612.3,309.12
R1270,R600,R1270/R600,0.5,20.0,110.0,1.952,0.482,V_OUT,IHX,176674.3,158.48
R1270,R600,R1270/R600,0.5,20.0,110.0,1.952,0.482,V_OUT,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.5,20.0,110.0,1.952,0.482,V_OUT,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.5,20.0,110.0,1.952,0.482,V_OUT,SNK_HX,175759.6,157.66
R1270,R600,R1270/R600,0.5,20.0,110.0,1.952,0.482,V_OUT,SRC_HX,106622.1,95.64
R1270,R600,R1270/R600,0.5,30.0,110.0,2.086,0.462,V_OUT,COMP1,257341.6,230.84
R1270,R600,R1270/R600,0.5,30.0,110.0,2.086,0.462,V_OUT,COMP2,309420.6,277.55
R1270,R600,R1270/R600,0.5,30.0,110.0,2.086,0.462,V_OUT,IHX,188225.1,168.84
R1270,R600,R1270/R600,0.5,30.0,110.0,2.086,0.462,V_OUT,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.5,30.0,110.0,2.086,0.462,V_OUT,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.5,30.0,110.0,2.086,0.462,V_OUT,SNK_HX,177105.1,158.86
R1270,R600,R1270/R600,0.5,30.0,110.0,2.086,0.462,V_OUT,SRC_HX,110412.9,99.04
R1270,R600,R1270/R600,0.5,40.0,110.0,2.233,0.438,V_OUT,COMP1,227826.4,204.36
R1270,R600,R1270/R600,0.5,40.0,110.0,2.233,0.438,V_OUT,COMP2,278954.0,250.22
R1270,R600,R1270/R600,0.5,40.0,110.0,2.233,0.438,V_OUT,IHX,201394.5,180.65
