Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,210.4,176.4,34.06,0,83.81,5.383,9.657,43.14,56.87,6.982,4.98,11.96,41.63,31.84,56.94,89.57
COMP2,382.7,326.6,56.02,0,85.36,8.854,15.88,78.44,100.5,11.48,7.634,19.12,39.93,28.09,56.94,85.45
IHX,117.3,97.96,19.3,0,83.54,3.05,5.471,76.16,86.8,12.53,5.685,18.22,31.2,36.43,180.4,246.1
MOT1,221.5,210.4,11.08,0,95,1.75,3.14,40.29,43.14,2.015,0,2.015,0,7.066,50.52,56.94
MOT2,402.8,382.7,20.14,0,95,3.183,5.71,73.26,78.44,3.663,0,3.663,0,7.066,50.52,56.94
SNK_HX,290.8,280.1,10.7,0,96.32,1.691,3.033,131,137.7,4.821,3.98,8.801,45.22,9.153,125.2,136.6
SRC_HX,17.06,8.319e-07,17.06,0,4.876e-06,2.696,4.837,42.59,48.88,42.59,1.912,44.5,4.296,inf,693.3,1.632e+10
VAL1,59.12,8.583,50.53,0,14.52,7.986,14.33,29.6,42.59,25.3,0,25.3,0,891,139.1,1378
VAL2,133.8,,133.8,0,,21.15,37.94,56.26,,56.26,0,56.26,0,inf,116.8,
TOT,632.8,280.1,352.7,0,44.26,55.74,100,113.6,137.7,63.3,24.19,87.49,27.65,174.1,49.85,136.6
