Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,240,202.5,37.51,0,84.37,7.064,17.92,47.81,57.54,7.473,4.204,11.68,36,20.35,55.34,78.94
COMP2,112.5,95.14,17.37,0,84.56,3.27,8.297,22.41,29.67,3.46,4.703,8.163,57.62,32.4,55.34,86.64
IHX,198.7,172.9,25.87,0,86.98,4.871,12.36,48.29,56.91,6.286,4.803,11.09,43.31,35.47,67.5,91.45
MOT1,252.6,240,12.63,0,95,2.378,6.034,45.94,47.81,2.297,0,2.297,0,4.049,50.52,55.34
MOT2,118.4,112.5,5.921,0,95,1.115,2.829,21.54,22.41,1.077,0,1.077,0,4.049,50.52,55.34
SNK_HX,253.7,241.9,11.8,0,95.35,2.223,5.639,82.01,87.42,3.816,3.667,7.483,49.01,11.79,89.8,100.4
SRC_HX,80.15,55.97,24.18,0,69.84,4.553,11.55,-1.249e-13,6.114,-3.767e-14,2.553,2.553,100,inf,-4.329e-13,30.34
VAL1,59.7,,59.7,0,,11.24,28.53,15.36,,15.36,0,15.36,0,inf,71.45,
VAL2,14.32,,14.32,0,,2.696,6.841,4.571,,4.571,0,4.571,0,inf,88.68,
TOT,531,241.9,209.3,79.85,45.55,39.41,100,67.48,87.42,26.6,19.93,46.53,42.84,184.4,35.3,100.4
