f1,f2,ls,T_src,T_steam,no_solve_class,label_c1,label_c2,Q_H_kW,m_steam [kg/s],m_steam [kg/h],V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],W_comp1 [kW],W_comp2 [kW],W_el [kW],scale_k,COP,eta_Lorenz,p_low_c1 [bar],p_high_c1 [bar],T_disch_c1 [°C],p_low_c2 [bar],p_high_c2 [bar],T_disch_c2 [°C],p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,feasible,reason,status,status_4state
R290,R600a,0.3,20,100.0,,R290,R600a,1128.2,0.5,1800.0,731.8,1362.2,173.59,343.44,544.24,1.0,2.073,0.471,5.56,18.67,69.4,5.89,21.78,106.2,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600a,0.3,30,100.0,,R290,R600a,1128.2,0.5,1800.0,637.1,1138.5,175.19,295.67,495.65,1.0,2.276,0.459,7.22,21.61,75.0,7.02,21.78,106.5,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600a,0.3,40,100.0,,R290,R600a,1128.2,0.5,1800.0,561.1,955.5,176.13,250.06,448.62,1.0,2.515,0.442,9.23,24.87,81.0,8.3,21.78,107.0,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600a,0.3,50,100.0,,R290,R600a,1128.2,0.5,1800.0,500.2,804.9,176.74,206.64,403.56,1.0,2.796,0.419,11.64,28.49,87.3,9.74,21.78,107.5,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600a,0.3,60,100.0,,R290,R600a,1128.2,0.5,1800.0,452.1,680.2,177.55,165.43,361.04,1.0,3.125,0.387,14.5,32.51,94.0,11.36,21.78,108.0,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R290,R600a,0.4,20,100.0,,R290,R600a,1128.2,0.5,1800.0,821.7,1110.1,221.05,289.02,536.91,1.0,2.101,0.478,5.54,22.05,78.5,7.19,21.78,106.6,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600a,0.4,30,100.0,,R290,R600a,1128.2,0.5,1800.0,705.0,955.5,217.94,250.06,492.63,1.0,2.29,0.462,7.21,24.87,82.9,8.3,21.78,107.0,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600a,0.4,40,100.0,,R290,R600a,1128.2,0.5,1800.0,613.0,824.7,214.13,212.71,449.3,1.0,2.511,0.441,9.24,27.95,87.8,9.52,21.78,107.4,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600a,0.4,50,100.0,,R290,R600a,1128.2,0.5,1800.0,540.2,713.5,209.95,176.98,407.29,1.0,2.77,0.415,11.66,31.32,93.1,10.88,21.78,107.8,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R290,R600a,0.4,60,100.0,,R290,R600a,1128.2,0.5,1800.0,482.9,618.5,205.86,142.89,367.1,1.0,3.073,0.381,14.53,35.0,98.7,12.36,21.78,108.3,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R290,R600a,0.5,20,100.0,,R290,R600a,1128.2,0.5,1800.0,919.6,909.5,275.14,237.43,539.55,1.0,2.091,0.476,5.54,25.87,87.4,8.69,21.78,107.1,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600a,0.5,30,100.0,,R290,R600a,1128.2,0.5,1800.0,779.6,804.9,266.42,206.64,497.96,1.0,2.266,0.457,7.23,28.49,90.8,9.74,21.78,107.5,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600a,0.5,40,100.0,,R290,R600a,1128.2,0.5,1800.0,670.5,713.5,257.01,176.98,456.84,1.0,2.47,0.434,9.26,31.32,94.7,10.88,21.78,107.8,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R290,R600a,0.5,50,100.0,,R290,R600a,1128.2,0.5,1800.0,584.7,633.4,247.22,148.46,416.5,1.0,2.709,0.405,11.7,34.36,98.9,12.11,21.78,108.2,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R290,R600a,0.5,60,100.0,,R290,R600a,1128.2,0.5,1800.0,517.2,562.9,237.41,121.05,377.33,1.0,2.99,0.37,14.58,37.64,103.4,13.44,21.78,108.6,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
