Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,127.8,109.7,18.07,0,85.86,2.611,4.479,28.35,38.88,4.009,2.54,6.548,38.78,37.17,61.63,98.46
COMP2,526.8,449.5,77.34,0,85.32,11.18,19.17,113.1,158.9,16.61,11.5,28.11,40.92,40.42,59.65,98.18
IHX,80.9,53.85,27.05,0,66.56,3.91,6.706,28.68,43.08,9.589,2.429,12.02,20.21,125.7,98.46,222.2
MOT1,134.4,127.7,6.719,0,95,0.971,1.666,24.44,28.27,1.222,0.8546,2.077,41.15,15.66,50.52,61.51
MOT2,554.6,526.8,27.73,0,95,4.007,6.874,100.9,113.1,5.043,0,5.043,0,12.17,50.52,59.65
SNK_HX,290.6,280.1,10.55,0,96.37,1.525,2.616,117.6,126.2,4.27,3.921,8.191,47.87,11.35,112.4,125.1
SRC_HX,19.19,5.507,13.68,0,28.7,1.977,3.392,14.33,22.18,10.22,1.801,12.02,14.99,439.5,207.4,1119
VAL1,28.79,19.29,9.493,0,67.02,1.372,2.353,10.2,14.41,3.365,0,3.365,0,110.6,98.46,207.4
VAL2,212.7,,212.7,0,,30.75,52.74,84.37,,84.37,0,84.37,0,inf,110.2,
TOT,691.9,280.1,403.4,8.492,40.48,58.3,100,125.3,148.4,73.05,23.05,96.1,23.98,192.5,50.31,147.2
