Connection,Kind,Energy Flow [kW],Exergy Flow [kW],C^TOT [EUR/h],c^TOT [EUR/GJ_ex]
e1,power,421.1,421.1,76.6,50.52
e2,power,234.8,234.8,42.71,50.52
e3,power,223.1,223.1,45.25,56.34
e4,power,186.3,186.3,33.88,50.52
e5,power,177,177,34.92,54.81
