Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,309.5,261.2,48.29,0,84.4,7.41,12.99,61.29,73.64,9.562,6.345,15.91,39.89,20.16,55,78.31
COMP2,286.6,244.7,41.86,0,85.39,6.424,11.27,56.74,67.8,8.289,5.848,14.14,41.37,19.49,55,76.97
IHX,156.9,135,21.89,0,86.05,3.359,5.891,90.86,95.28,12.67,1.693,14.37,11.78,21.86,160.8,196
MOT1,325.8,309.5,16.29,0,95,2.5,4.384,59.26,61.29,2.963,0,2.963,0,3.421,50.52,55
MOT2,301.7,286.6,15.08,0,95,2.314,4.059,54.87,56.74,2.743,0,2.743,0,3.421,50.52,55
SNK_HX,290.9,280.1,10.85,0,96.27,1.664,2.919,127.9,133.3,4.768,4.014,8.783,45.71,8.23,122.1,132.2
SRC_HX,32.68,1.063e-06,32.68,0,3.254e-06,5.015,8.794,60.68,65.97,60.68,1.229,61.91,1.985,inf,515.8,1.723e+10
VAL1,104.3,8.472,95.81,0,8.124,14.7,25.78,48.75,60.68,44.79,0,44.79,0,1432,129.9,1989
VAL2,88.84,,88.84,0,,13.63,23.91,35.19,,35.19,0,35.19,0,inf,110,
TOT,651.7,280.1,371.6,0,42.98,57.02,100,114.1,133.3,65.08,19.13,84.21,22.72,171.7,48.65,132.2
