Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,204.4,175.9,28.48,0,86.07,6.054,12.63,41.15,47.97,5.733,4.573,10.31,44.37,16.57,55.92,75.73
COMP2,229.7,194.1,35.61,0,84.5,7.57,15.79,44.94,55.11,6.966,7.371,14.34,51.41,22.65,54.34,78.87
IHX,144.9,103.4,41.47,0,71.37,8.816,18.4,39.5,44.28,11.31,1.511,12.82,11.79,57.06,75.73,118.9
MOT1,215.2,204.4,10.76,0,95,2.287,4.772,39.14,41.15,1.957,1.161,3.118,37.23,5.132,50.52,55.91
MOT2,241.8,229.7,12.09,0,95,2.57,5.363,43.98,44.94,2.199,0,2.199,0,2.166,50.52,54.34
SNK_HX,253.6,241.9,11.73,0,95.38,2.492,5.201,85.09,89.59,3.934,3.582,7.516,47.66,10.4,93.2,102.9
SRC_HX,25.03,0.122,24.91,0,0.4871,5.295,11.05,9.766,13.97,9.719,2.238,11.96,18.72,2.926e+04,108.4,3.181e+04
VAL1,31.07,14.58,16.49,0,46.93,3.504,7.312,8.47,9.769,4.495,0,4.495,0,145.8,75.73,186.1
VAL2,43.92,,43.92,0,,9.336,19.48,14.31,,14.31,0,14.31,0,inf,90.48,
TOT,470.4,241.9,225.5,3.107,51.41,47.93,100,83.12,103.6,39.84,20.44,60.27,33.9,142.3,49.08,118.9
