Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,236.6,205.7,30.87,0,86.95,5.826,13.04,42.53,50.45,5.549,3.752,9.301,40.34,18.61,49.94,68.12
COMP2,225.1,192,33.08,0,85.3,6.244,13.98,39.27,49.31,5.772,5.581,11.35,49.16,25.58,48.46,71.35
IHX,190.5,149.2,41.34,0,78.3,7.803,17.46,48.84,56.69,10.6,2.272,12.87,17.65,48.24,71.2,105.5
MOT1,249,236.6,12.45,0,95,2.35,5.259,39.59,42.53,1.98,1.254,3.234,38.79,7.41,44.17,49.94
MOT2,236.9,225.1,11.85,0,95,2.236,5.003,37.67,39.27,1.883,0,1.883,0,4.242,44.17,48.46
SNK_HX,290.4,280.1,10.37,0,96.43,1.957,4.379,90.85,95.81,3.243,3.561,6.803,52.34,9.362,86.89,95.03
SRC_HX,30.87,10.39,20.48,0,33.66,3.865,8.651,1.874e-14,4.891,1.243e-14,2.128,2.128,100,inf,1.686e-13,130.8
VAL1,25.57,,25.57,0,,4.825,10.8,6.499,,6.499,0,6.499,0,inf,70.61,
VAL2,50.73,,50.73,0,,9.575,21.43,15.15,,15.15,0,15.15,0,inf,82.93,
TOT,529.8,280.1,236.7,13.03,52.86,44.68,100,77.26,95.81,34.52,18.55,53.07,34.95,134.6,40.51,95.03
