Connection,Kind,Energy Flow [kW],Exergy Flow [kW],C^TOT [EUR/h],c^TOT [EUR/GJ_ex]
e1,power,612,612,111.3,50.52
e2,power,175.2,175.2,31.87,50.52
e3,power,166.4,166.4,33.98,56.71
e4,power,436.8,436.8,79.44,50.52
e5,power,414.9,414.9,84.71,56.71
