Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,165.3,141.5,23.86,0,85.57,4.433,8.439,34.31,41.93,4.952,3.275,8.227,39.81,22.2,57.66,82.34
COMP2,343.4,290.2,53.22,0,84.5,9.889,18.83,69.04,87.86,10.7,9.129,19.83,46.04,27.25,55.84,84.09
IHX,96.94,59.78,37.16,0,61.67,6.904,13.14,28.73,37.72,11.01,2.222,13.24,16.79,112.9,82.34,175.3
MOT1,173.7,165.1,8.687,0,95,1.614,3.073,31.6,34.19,1.58,1.01,2.59,38.99,8.198,50.52,57.54
MOT2,361.5,343.4,18.08,0,95,3.358,6.394,65.76,69.04,3.288,0,3.288,0,5.002,50.52,55.84
SNK_HX,253.6,241.9,11.74,0,95.37,2.182,4.154,91.67,97.45,4.245,3.638,7.882,46.15,11.46,100.4,111.9
SRC_HX,33.03,10.67,22.35,0,32.31,4.153,7.907,15.12,21.3,10.23,2.118,12.35,17.15,336.1,127.1,554.5
VAL1,44.52,33.29,11.23,0,74.78,2.086,3.971,13.2,15.24,3.328,0,3.328,0,54.42,82.34,127.1
VAL2,96.38,,96.38,0,,17.91,34.09,33.9,,33.9,0,33.9,0,inf,97.72,
TOT,538.2,241.9,282.7,13.66,44.94,52.52,100,97.36,118.7,51.14,21.39,72.53,29.49,171.4,50.24,136.4
