Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,244.9,212.8,32.15,0,86.88,6.393,13.51,49.14,56.13,6.449,4.644,11.09,41.86,14.22,55.73,73.27
COMP2,220,186.8,33.21,0,84.9,6.604,13.96,42.96,51.64,6.485,6.262,12.75,49.12,20.22,54.25,76.81
IHX,176.2,130.7,45.49,0,74.18,9.047,19.12,46.48,51.97,12,2.175,14.17,15.35,50.73,73.27,110.4
MOT1,257.8,244.9,12.89,0,95,2.564,5.418,46.9,49.14,2.345,1.305,3.65,35.76,4.789,50.52,55.73
MOT2,231.5,220,11.58,0,95,2.302,4.865,42.11,42.96,2.106,0,2.106,0,2.005,50.52,54.25
SNK_HX,272.9,261.9,11,0,95.97,2.189,4.625,89.51,93.9,3.61,3.584,7.194,49.82,9.309,91.12,99.6
SRC_HX,22.48,0.01411,22.47,0,0.06275,4.468,9.441,11.45,15.26,11.44,2.175,13.61,15.97,2.124e+05,141.4,3.005e+05
VAL1,36.6,12.02,24.58,0,32.85,4.888,10.33,9.654,11.45,6.483,0,6.483,0,261,73.27,264.5
VAL2,44.6,,44.6,0,,8.869,18.74,14.11,,14.11,0,14.11,0,inf,87.86,
TOT,502.8,261.9,238,2.999,52.08,47.32,100,89.01,109.2,42.12,20.14,62.27,32.35,135.5,49.17,115.8
