f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,e1_c [EUR/MWh],c_P [EUR/GJ],Z_sum [EUR/h]
R1270,R600,R1270/R600,0.3,20.0,100.0,2.161,0.492,V_OUT,100.0,87.482,23.961
R1270,R600,R1270/R600,0.3,20.0,100.0,2.161,0.492,V_OUT,110.0,93.479,23.961
R1270,R600,R1270/R600,0.3,20.0,100.0,2.161,0.492,V_OUT,120.0,99.475,23.961
R1270,R600,R1270/R600,0.3,20.0,100.0,2.161,0.492,V_OUT,130.0,105.471,23.961
R1270,R600,R1270/R600,0.3,20.0,100.0,2.161,0.492,V_OUT,140.0,111.468,23.961
R1270,R600,R1270/R600,0.3,20.0,100.0,2.161,0.492,V_OUT,150.0,117.464,23.961
R1270,R600,R1270/R600,0.3,20.0,100.0,2.161,0.492,V_OUT,160.0,123.461,23.961
R1270,R600,R1270/R600,0.3,20.0,100.0,2.161,0.492,V_OUT,170.0,129.457,23.961
R1270,R600,R1270/R600,0.3,20.0,100.0,2.161,0.492,V_OUT,180.0,135.454,23.961
R1270,R600,R1270/R600,0.3,20.0,100.0,2.161,0.492,V_OUT,190.0,141.45,23.961
R1270,R600,R1270/R600,0.3,20.0,100.0,2.161,0.492,V_OUT,200.0,147.447,23.961
R1270,R600,R1270/R600,0.3,30.0,100.0,2.361,0.477,OK,100.0,80.306,22.136
R1270,R600,R1270/R600,0.3,30.0,100.0,2.361,0.477,OK,110.0,85.794,22.136
R1270,R600,R1270/R600,0.3,30.0,100.0,2.361,0.477,OK,120.0,91.282,22.136
R1270,R600,R1270/R600,0.3,30.0,100.0,2.361,0.477,OK,130.0,96.771,22.136
R1270,R600,R1270/R600,0.3,30.0,100.0,2.361,0.477,OK,140.0,102.259,22.136
R1270,R600,R1270/R600,0.3,30.0,100.0,2.361,0.477,OK,150.0,107.747,22.136
R1270,R600,R1270/R600,0.3,30.0,100.0,2.361,0.477,OK,160.0,113.236,22.136
R1270,R600,R1270/R600,0.3,30.0,100.0,2.361,0.477,OK,170.0,118.724,22.136
R1270,R600,R1270/R600,0.3,30.0,100.0,2.361,0.477,OK,180.0,124.212,22.136
R1270,R600,R1270/R600,0.3,30.0,100.0,2.361,0.477,OK,190.0,129.701,22.136
R1270,R600,R1270/R600,0.3,30.0,100.0,2.361,0.477,OK,200.0,135.189,22.136
R1270,R600,R1270/R600,0.3,40.0,100.0,2.592,0.456,OK,100.0,73.83,20.766
R1270,R600,R1270/R600,0.3,40.0,100.0,2.592,0.456,OK,110.0,78.828,20.766
R1270,R600,R1270/R600,0.3,40.0,100.0,2.592,0.456,OK,120.0,83.826,20.766
R1270,R600,R1270/R600,0.3,40.0,100.0,2.592,0.456,OK,130.0,88.824,20.766
R1270,R600,R1270/R600,0.3,40.0,100.0,2.592,0.456,OK,140.0,93.822,20.766
R1270,R600,R1270/R600,0.3,40.0,100.0,2.592,0.456,OK,150.0,98.82,20.766
R1270,R600,R1270/R600,0.3,40.0,100.0,2.592,0.456,OK,160.0,103.819,20.766
R1270,R600,R1270/R600,0.3,40.0,100.0,2.592,0.456,OK,170.0,108.817,20.766
R1270,R600,R1270/R600,0.3,40.0,100.0,2.592,0.456,OK,180.0,113.815,20.766
R1270,R600,R1270/R600,0.3,40.0,100.0,2.592,0.456,OK,190.0,118.813,20.766
R1270,R600,R1270/R600,0.3,40.0,100.0,2.592,0.456,OK,200.0,123.811,20.766
R1270,R600,R1270/R600,0.3,50.0,100.0,2.859,0.429,OK,100.0,67.981,19.732
R1270,R600,R1270/R600,0.3,50.0,100.0,2.859,0.429,OK,110.0,72.513,19.732
R1270,R600,R1270/R600,0.3,50.0,100.0,2.859,0.429,OK,120.0,77.045,19.732
R1270,R600,R1270/R600,0.3,50.0,100.0,2.859,0.429,OK,130.0,81.577,19.732
R1270,R600,R1270/R600,0.3,50.0,100.0,2.859,0.429,OK,140.0,86.109,19.732
R1270,R600,R1270/R600,0.3,50.0,100.0,2.859,0.429,OK,150.0,90.641,19.732
R1270,R600,R1270/R600,0.3,50.0,100.0,2.859,0.429,OK,160.0,95.172,19.732
R1270,R600,R1270/R600,0.3,50.0,100.0,2.859,0.429,OK,170.0,99.704,19.732
R1270,R600,R1270/R600,0.3,50.0,100.0,2.859,0.429,OK,180.0,104.236,19.732
R1270,R600,R1270/R600,0.3,50.0,100.0,2.859,0.429,OK,190.0,108.768,19.732
R1270,R600,R1270/R600,0.3,50.0,100.0,2.859,0.429,OK,200.0,113.3,19.732
R1270,R600,R1270/R600,0.4,20.0,100.0,2.167,0.494,OK,100.0,85.884,22.715
R1270,R600,R1270/R600,0.4,20.0,100.0,2.167,0.494,OK,110.0,91.864,22.715
R1270,R600,R1270/R600,0.4,20.0,100.0,2.167,0.494,OK,120.0,97.843,22.715
R1270,R600,R1270/R600,0.4,20.0,100.0,2.167,0.494,OK,130.0,103.823,22.715
R1270,R600,R1270/R600,0.4,20.0,100.0,2.167,0.494,OK,140.0,109.803,22.715
R1270,R600,R1270/R600,0.4,20.0,100.0,2.167,0.494,OK,150.0,115.782,22.715
R1270,R600,R1270/R600,0.4,20.0,100.0,2.167,0.494,OK,160.0,121.762,22.715
R1270,R600,R1270/R600,0.4,20.0,100.0,2.167,0.494,OK,170.0,127.742,22.715
R1270,R600,R1270/R600,0.4,20.0,100.0,2.167,0.494,OK,180.0,133.722,22.715
R1270,R600,R1270/R600,0.4,20.0,100.0,2.167,0.494,OK,190.0,139.701,22.715
R1270,R600,R1270/R600,0.4,20.0,100.0,2.167,0.494,OK,200.0,145.681,22.715
R1270,R600,R1270/R600,0.4,30.0,100.0,2.351,0.475,OK,100.0,79.587,21.311
R1270,R600,R1270/R600,0.4,30.0,100.0,2.351,0.475,OK,110.0,85.098,21.311
R1270,R600,R1270/R600,0.4,30.0,100.0,2.351,0.475,OK,120.0,90.609,21.311
R1270,R600,R1270/R600,0.4,30.0,100.0,2.351,0.475,OK,130.0,96.12,21.311
