metric,value,unit
COP (= η_gas),0.9,-
ε (exergy efficiency),0.1877,-
E_F (fuel chemical exergy),1288.63,kW
E_P (steam exergy gain),241.88,kW
E_D (exergy destruction),991.65,kW
Q_H (steam duty),1128.2,kW
Q_gas (LHV thermal input),1253.56,kW
ṁ_CO2 (combustion),247.4652,kg/h
c_P (with CO2 charge),107.228,EUR/GJ_ex
Z_sum (retrofit ⇒ 0),0.0,EUR/h
