Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],e^CH [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^CH [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^CH [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
g1,0.5184,20,1.013,293.6,6842,1.049,0,0,0,2.023,0,-0,-0,0,0,0,-0,0
g2,0.02506,20,1.013,898.8,6637,1288,5.332e-13,5.332e-13,0,5.138e+04,4.33e-15,-0,93.37,93.37,90.02,0,20.14,20.14
g3,0.5434,1793,1.013,2864,8940,892.6,1614,1614,0,28.73,93.32,0,0.0522,93.37,29.56,0,0.9288,29.06
g4,0.5434,227.8,1.013,788.1,7116,55.11,72.68,72.68,0,28.73,4.203,-0,0.0522,4.255,29.56,0,0.9288,21.45
w1,0.5,100,1.014,419.2,1307,20.68,38.86,38.86,9.316e-05,2.498,0,0,0,0,0,0,0,0
w2,0.5,100,1.014,2676,7354,262.6,522.6,522.6,9.316e-05,2.498,89.11,0,-0,93.37,94.73,0,-0,98.78
