Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,231.7,200.5,31.25,0,86.51,6.32,12.37,46.54,53.51,6.277,4.628,10.9,42.44,14.99,55.79,74.16
COMP2,206.6,174.7,31.93,0,84.55,6.458,12.64,40.38,48.47,6.24,5.689,11.93,47.69,20.03,54.28,77.06
IHX,167.4,123,44.43,0,73.47,8.985,17.59,59.98,64.83,15.91,1.511,17.42,8.67,47.12,99.5,146.4
MOT1,243.9,231.7,12.2,0,95,2.466,4.828,44.36,46.54,2.218,1.259,3.477,36.21,4.904,50.52,55.79
MOT2,217.5,206.6,10.88,0,95,2.199,4.305,39.56,40.38,1.978,0,1.978,0,2.066,50.52,54.28
SNK_HX,253.7,241.9,11.82,0,95.34,2.391,4.68,97.62,102.2,4.55,3.715,8.265,44.95,9.834,106.9,117.4
SRC_HX,44.92,3.482e-07,44.92,0,7.752e-07,9.085,17.78,11.7,16.58,11.7,1.498,13.2,11.35,inf,72.37,1.322e+10
VAL1,33.01,11.85,21.15,0,35.91,4.278,8.374,10.11,11.7,6.482,0,6.482,0,222.2,85.12,274.3
VAL2,44.02,,44.02,0,,8.903,17.43,15.67,,15.67,0,15.67,0,inf,98.9,
TOT,494.5,241.9,252.6,0,48.91,51.09,100,83.93,102.2,42.87,18.3,61.17,29.91,149,47.15,117.4
