f1,f2,pair,ls,T_src,T_steam,status_4state,status_modern,reason,reason_modern,no_solve_class,COP,eta_Lorenz,Q_H_kW,m_steam [kg/h],T_evap_c1 [°C],T_cond_c1 [°C],T_disch_c1 [°C],T_evap_c2 [°C],T_cond_c2 [°C],T_disch_c2 [°C],p_low_c1 [bar],p_high_c1 [bar],p_low_c2 [bar],p_high_c2 [bar],V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],W_comp1 [kW],W_comp2 [kW],W_el [kW],label_c1,label_c2,scale_k,p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,p_OK_c1_modern,p_OK_c2_modern,T_OK_c1_modern,T_OK_c2_modern,V_OK_c1_modern,V_OK_c2_modern,feasible,status,m_steam [kg/s]
R717,R600a,R717/R600a,0.6,40,100.0,HARD,OK,"T_c1, V_c1, V_c2",,,2.461,0.462,1128.2,1800.0,15.0,86.0,199.3,76.0,105.0,108.3,7.28,47.08,12.36,21.78,504.7,618.5,292.58,142.89,458.38,R717-HP,R600a,1.0,True,True,False,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600a,R717/R600a,0.4,50,100.0,HARD,OK,"T_c1, V_c1, V_c2",,,2.46,0.428,1128.2,1800.0,15.0,80.0,184.9,70.0,105.0,107.8,7.28,41.41,10.88,21.78,486.1,713.5,258.78,176.98,458.69,R717-HP,R600a,1.0,True,True,False,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600a,R717/R600a,0.5,40,100.0,HARD,OK,"T_c1, V_c1, V_c2",,,2.46,0.461,1128.2,1800.0,15.0,80.0,184.9,70.0,105.0,107.8,7.28,41.41,10.88,21.78,486.1,713.5,258.78,176.98,458.69,R717-HP,R600a,1.0,True,True,False,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.3,30,100.0,V_ONLY,OK,"V_c1, V_c2",,,2.453,0.493,1128.2,1800.0,15.0,61.0,138.2,51.0,105.0,105.2,7.28,26.79,5.09,16.8,437.3,1330.7,166.27,270.62,459.88,R717-LP,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600a,R717/R600a,0.3,50,100.0,V_ONLY,OK,"V_c1, V_c2",,,2.445,0.426,1128.2,1800.0,15.0,75.0,172.8,65.0,105.0,107.5,7.28,37.1,9.74,21.78,470.4,804.9,231.71,206.64,461.42,R717-HP,R600a,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600a,R717/R600a,0.5,30,100.0,V_ONLY,OK,"V_c1, V_c2",,,2.445,0.491,1128.2,1800.0,15.0,75.0,172.8,65.0,105.0,107.5,7.28,37.1,9.74,21.78,470.4,804.9,231.71,206.64,461.42,R717-HP,R600a,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600a,R717/R600a,0.4,40,100.0,V_ONLY,OK,"V_c1, V_c2",,,2.441,0.458,1128.2,1800.0,15.0,74.0,170.4,64.0,105.0,107.4,7.28,36.27,9.52,21.78,467.2,824.7,226.41,212.71,462.23,R717-HP,R600a,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600a,R717/R600a,0.3,40,100.0,V_ONLY,OK,"V_c1, V_c2",,,2.405,0.451,1128.2,1800.0,15.0,68.0,155.6,58.0,105.0,107.0,7.28,31.63,8.3,21.78,447.8,955.5,195.52,250.06,469.03,R717-HP,R600a,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600a,R717/R600a,0.4,30,100.0,V_ONLY,OK,"V_c1, V_c2",,,2.405,0.483,1128.2,1800.0,15.0,68.0,155.6,58.0,105.0,107.0,7.28,31.63,8.3,21.78,447.8,955.5,195.52,250.06,469.03,R717-HP,R600a,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600,R290/R600,0.3,30,100.0,V_ONLY,OK,"V_c1, V_c2",,,2.387,0.48,1128.2,1800.0,15.0,61.0,74.9,51.0,105.0,105.2,7.32,21.61,5.09,16.8,648.2,1330.7,178.36,270.62,472.61,R290,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
