f1,f2,ls,T_src,T_steam,no_solve_class,label_c1,label_c2,Q_H_kW,m_steam [kg/s],m_steam [kg/h],V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],W_comp1 [kW],W_comp2 [kW],W_el [kW],scale_k,COP,eta_Lorenz,p_low_c1 [bar],p_high_c1 [bar],T_disch_c1 [°C],p_low_c2 [bar],p_high_c2 [bar],T_disch_c2 [°C],p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,feasible,reason,status,status_4state
R290,R600a,0.3,20,100.0,,R290,R600a,1128.2,0.5,1800.0,737.0,1362.2,174.66,343.44,545.37,1.0,2.069,0.471,5.51,18.67,69.5,5.89,21.78,106.2,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600a,0.3,30,100.0,,R290,R600a,1128.2,0.5,1800.0,629.3,1138.5,173.15,295.67,493.5,1.0,2.286,0.459,7.32,21.61,74.9,7.02,21.78,106.5,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600a,0.3,40,100.0,,R290,R600a,1128.2,0.5,1800.0,695.7,955.5,215.5,250.06,490.06,1.0,2.302,0.432,7.32,24.87,82.8,8.3,21.78,107.0,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600a,0.3,50,100.0,,R290,R600a,1128.2,0.5,1800.0,770.9,804.9,264.15,206.64,495.57,1.0,2.277,0.397,7.32,28.49,90.7,9.74,21.78,107.5,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600a,0.3,60,100.0,,R290,R600a,1128.2,0.5,1800.0,858.5,680.2,321.0,165.43,512.04,1.0,2.203,0.354,7.32,32.51,98.7,11.36,21.78,108.0,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R290,R600a,0.4,20,100.0,,R290,R600a,1128.2,0.5,1800.0,825.2,1110.1,221.74,289.02,537.65,1.0,2.098,0.478,5.51,22.05,78.5,7.19,21.78,106.6,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600a,0.4,30,100.0,,R290,R600a,1128.2,0.5,1800.0,695.7,955.5,215.5,250.06,490.06,1.0,2.302,0.463,7.32,24.87,82.8,8.3,21.78,107.0,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600a,0.4,40,100.0,,R290,R600a,1128.2,0.5,1800.0,759.5,824.7,256.75,212.71,494.17,1.0,2.283,0.428,7.32,27.95,89.6,9.52,21.78,107.4,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600a,0.4,50,100.0,,R290,R600a,1128.2,0.5,1800.0,831.9,713.5,303.77,176.98,506.05,1.0,2.229,0.388,7.32,31.32,96.4,10.88,21.78,107.8,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R290,R600a,0.4,60,100.0,,R290,R600a,1128.2,0.5,1800.0,916.2,618.5,358.31,142.89,527.57,1.0,2.138,0.344,7.32,35.0,103.2,12.36,21.78,108.3,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
