Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,203.7,175.9,27.78,0,86.36,5.178,14.38,41.25,47.02,5.624,2.958,8.582,34.46,14,56.25,74.25
COMP2,153.9,130.8,23.05,0,85.02,4.298,11.94,30.29,36.93,4.537,4.305,8.842,48.69,21.94,54.67,78.4
IHX,210.7,174.8,35.88,0,82.97,6.688,18.58,46.98,53.61,8,2.985,10.98,27.17,37.52,61.94,85.18
MOT1,214.4,203.7,10.72,0,95,1.999,5.552,39,41.25,1.95,1.158,3.108,37.26,5.758,50.52,56.25
MOT2,162,153.9,8.099,0,95,1.51,4.194,29.46,30.29,1.473,0,1.473,0,2.789,50.52,54.67
SNK_HX,273.2,261.9,11.32,0,95.86,2.11,5.862,81.07,86.05,3.359,3.825,7.184,53.24,10.72,82.44,91.28
SRC_HX,78.55,55.04,23.5,0,70.08,4.382,12.17,-1.749e-13,4.736,-5.232e-14,2.351,2.351,100,inf,-6.184e-13,23.9
VAL1,20.28,,20.28,0,,3.78,10.5,4.777,,4.777,0,4.777,0,inf,65.45,
VAL2,32.48,,32.48,0,,6.054,16.82,9.462,,9.462,0,9.462,0,inf,80.93,
TOT,536.4,261.9,193.1,81.45,48.82,36,100,68.47,86.05,24.65,17.58,42.23,41.64,157.4,35.45,91.28
