label,stream,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
g1,air (in),air inlet,CC,0.505907,20.0,1.0132,293.56,6.8422,0.420089,0.0,0.0,0.0
g2,CH4 fuel (in),fuel inlet,CC,0.024455,20.0,1.0132,898.822,6.6368,0.036601,0.0,0.0,0.0
g3,combustion products,CC,GAS_HX,0.530362,1793.42,1.0132,2864.165,8.9403,3.220789,1613812.3,0.0,1613812.3
g4,flue gas (out),GAS_HX,exhaust outlet,0.530362,227.82,1.0132,788.115,7.1156,0.780802,72681.54,0.0,72681.54
w1,water (in),water inlet,GAS_HX,0.5,120.0,1.9867,503.812,1.5279,0.00053,58708.67,97.52,58806.2
w2,steam (out),GAS_HX,steam outlet,0.5,120.0,1.9867,2705.926,7.1291,0.445606,618829.26,97.52,618926.78
