Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],e^CH [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^CH [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^CH [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
g1,1.012,20,1.013,293.6,6842,2.047,0,0,0,2.023,0,-0,-0,0,0,0,-0,0
g2,0.04891,20,1.013,898.8,6637,2513,5.332e-13,5.332e-13,0,5.138e+04,-0,-0,182.2,182.2,-0,0,20.14,20.14
g3,1.061,1793,1.013,2864,8940,1742,1614,1614,0,28.73,182.1,0,0.1019,182.2,29.56,0,0.9288,29.06
g4,1.061,227.8,1.013,788.1,7116,107.6,72.68,72.68,0,28.73,8.203,-0,0.1019,8.305,29.56,0,0.9288,21.45
w1,1,120,1.987,503.8,1528,61.3,58.81,58.71,0.09752,2.498,0,0,0,0,0,0,0,0
w2,1,120,1.987,2706,7129,621.4,618.9,618.8,0.09752,2.498,173.9,-0,-0,182.2,78.08,-0,-0,81.46
