Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,184.6,155.6,29.06,0,84.26,4.811,12.34,37.42,47.16,5.889,3.541,9.43,37.55,26.02,56.3,84.2
COMP2,237.1,202.3,34.87,0,85.29,5.774,14.81,48.06,61.42,7.068,5.92,12.99,45.58,27.79,56.3,84.35
IHX,164.8,143.1,21.77,0,86.79,3.605,9.243,42.06,51.78,5.556,5.082,10.64,47.77,41.86,70.88,100.6
MOT1,194.3,184.6,9.717,0,95,1.609,4.126,35.35,37.42,1.767,0,1.767,0,5.862,50.52,56.3
MOT2,249.6,237.1,12.48,0,95,2.067,5.299,45.4,48.06,2.27,0,2.27,0,5.862,50.52,56.3
SNK_HX,290.4,280.1,10.36,0,96.43,1.715,4.397,95.49,101.3,3.405,3.612,7.017,51.47,10.02,91.33,100.5
SRC_HX,71.63,52.06,19.58,0,72.67,3.241,8.311,-4.996e-14,6.58,-1.365e-14,2.405,2.405,100,inf,-1.937e-13,35.11
VAL1,42.81,,42.81,0,,7.088,18.17,11.68,,11.68,0,11.68,0,inf,75.79,
VAL2,54.9,,54.9,0,,9.09,23.31,17.71,,17.71,0,17.71,0,inf,89.63,
TOT,604,280.1,235.5,88.36,46.37,39,100,80.75,101.3,31.49,20.56,52.05,39.5,170.6,37.14,100.5
