f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,e1_c [EUR/MWh],c_P [EUR/GJ],Z_sum [EUR/h]
R1270,R600,R1270/R600,0.4,30.0,120.0,1.913,0.462,OK,180.0,136.842,19.426
R1270,R600,R1270/R600,0.4,30.0,120.0,1.913,0.462,OK,190.0,143.374,19.426
R1270,R600,R1270/R600,0.4,30.0,120.0,1.913,0.462,OK,200.0,149.906,19.426
R1270,R600,R1270/R600,0.5,20.0,120.0,1.757,0.469,OK,100.0,91.181,20.251
R1270,R600,R1270/R600,0.5,20.0,120.0,1.757,0.469,OK,110.0,98.291,20.251
R1270,R600,R1270/R600,0.5,20.0,120.0,1.757,0.469,OK,120.0,105.4,20.251
R1270,R600,R1270/R600,0.5,20.0,120.0,1.757,0.469,OK,130.0,112.51,20.251
R1270,R600,R1270/R600,0.5,20.0,120.0,1.757,0.469,OK,140.0,119.62,20.251
R1270,R600,R1270/R600,0.5,20.0,120.0,1.757,0.469,OK,150.0,126.729,20.251
R1270,R600,R1270/R600,0.5,20.0,120.0,1.757,0.469,OK,160.0,133.839,20.251
R1270,R600,R1270/R600,0.5,20.0,120.0,1.757,0.469,OK,170.0,140.948,20.251
R1270,R600,R1270/R600,0.5,20.0,120.0,1.757,0.469,OK,180.0,148.058,20.251
R1270,R600,R1270/R600,0.5,20.0,120.0,1.757,0.469,OK,190.0,155.167,20.251
R1270,R600,R1270/R600,0.5,20.0,120.0,1.757,0.469,OK,200.0,162.277,20.251
R1270,R600a,R1270/R600a,0.3,20.0,120.0,1.553,0.415,V_OUT,100.0,105.987,25.779
R1270,R600a,R1270/R600a,0.3,20.0,120.0,1.553,0.415,V_OUT,110.0,114.029,25.779
R1270,R600a,R1270/R600a,0.3,20.0,120.0,1.553,0.415,V_OUT,120.0,122.071,25.779
R1270,R600a,R1270/R600a,0.3,20.0,120.0,1.553,0.415,V_OUT,130.0,130.113,25.779
R1270,R600a,R1270/R600a,0.3,20.0,120.0,1.553,0.415,V_OUT,140.0,138.154,25.779
R1270,R600a,R1270/R600a,0.3,20.0,120.0,1.553,0.415,V_OUT,150.0,146.196,25.779
R1270,R600a,R1270/R600a,0.3,20.0,120.0,1.553,0.415,V_OUT,160.0,154.238,25.779
R1270,R600a,R1270/R600a,0.3,20.0,120.0,1.553,0.415,V_OUT,170.0,162.28,25.779
R1270,R600a,R1270/R600a,0.3,20.0,120.0,1.553,0.415,V_OUT,180.0,170.321,25.779
R1270,R600a,R1270/R600a,0.3,20.0,120.0,1.553,0.415,V_OUT,190.0,178.363,25.779
R1270,R600a,R1270/R600a,0.3,20.0,120.0,1.553,0.415,V_OUT,200.0,186.405,25.779
R1270,R600a,R1270/R600a,0.3,30.0,120.0,1.697,0.41,OK,100.0,97.307,23.866
R1270,R600a,R1270/R600a,0.3,30.0,120.0,1.697,0.41,OK,110.0,104.67,23.866
R1270,R600a,R1270/R600a,0.3,30.0,120.0,1.697,0.41,OK,120.0,112.033,23.866
R1270,R600a,R1270/R600a,0.3,30.0,120.0,1.697,0.41,OK,130.0,119.397,23.866
R1270,R600a,R1270/R600a,0.3,30.0,120.0,1.697,0.41,OK,140.0,126.76,23.866
R1270,R600a,R1270/R600a,0.3,30.0,120.0,1.697,0.41,OK,150.0,134.124,23.866
R1270,R600a,R1270/R600a,0.3,30.0,120.0,1.697,0.41,OK,160.0,141.487,23.866
R1270,R600a,R1270/R600a,0.3,30.0,120.0,1.697,0.41,OK,170.0,148.851,23.866
R1270,R600a,R1270/R600a,0.3,30.0,120.0,1.697,0.41,OK,180.0,156.214,23.866
R1270,R600a,R1270/R600a,0.3,30.0,120.0,1.697,0.41,OK,190.0,163.578,23.866
R1270,R600a,R1270/R600a,0.3,30.0,120.0,1.697,0.41,OK,200.0,170.941,23.866
R1270,R600a,R1270/R600a,0.3,40.0,120.0,1.747,0.4,OK,100.0,93.632,22.321
R1270,R600a,R1270/R600a,0.3,40.0,120.0,1.747,0.4,OK,110.0,100.782,22.321
R1270,R600a,R1270/R600a,0.3,40.0,120.0,1.747,0.4,OK,120.0,107.931,22.321
R1270,R600a,R1270/R600a,0.3,40.0,120.0,1.747,0.4,OK,130.0,115.081,22.321
R1270,R600a,R1270/R600a,0.3,40.0,120.0,1.747,0.4,OK,140.0,122.23,22.321
R1270,R600a,R1270/R600a,0.3,40.0,120.0,1.747,0.4,OK,150.0,129.379,22.321
R1270,R600a,R1270/R600a,0.3,40.0,120.0,1.747,0.4,OK,160.0,136.529,22.321
R1270,R600a,R1270/R600a,0.3,40.0,120.0,1.747,0.4,OK,170.0,143.678,22.321
R1270,R600a,R1270/R600a,0.3,40.0,120.0,1.747,0.4,OK,180.0,150.827,22.321
R1270,R600a,R1270/R600a,0.3,40.0,120.0,1.747,0.4,OK,190.0,157.977,22.321
R1270,R600a,R1270/R600a,0.3,40.0,120.0,1.747,0.4,OK,200.0,165.126,22.321
R1270,R600a,R1270/R600a,0.3,50.0,120.0,1.766,0.382,OK,100.0,88.863,18.255
R1270,R600a,R1270/R600a,0.3,50.0,120.0,1.766,0.382,OK,110.0,95.939,18.255
R1270,R600a,R1270/R600a,0.3,50.0,120.0,1.766,0.382,OK,120.0,103.015,18.255
R1270,R600a,R1270/R600a,0.3,50.0,120.0,1.766,0.382,OK,130.0,110.09,18.255
R1270,R600a,R1270/R600a,0.3,50.0,120.0,1.766,0.382,OK,140.0,117.166,18.255
R1270,R600a,R1270/R600a,0.3,50.0,120.0,1.766,0.382,OK,150.0,124.242,18.255
R1270,R600a,R1270/R600a,0.3,50.0,120.0,1.766,0.382,OK,160.0,131.317,18.255
R1270,R600a,R1270/R600a,0.3,50.0,120.0,1.766,0.382,OK,170.0,138.393,18.255
R1270,R600a,R1270/R600a,0.3,50.0,120.0,1.766,0.382,OK,180.0,145.469,18.255
R1270,R600a,R1270/R600a,0.3,50.0,120.0,1.766,0.382,OK,190.0,152.544,18.255
R1270,R600a,R1270/R600a,0.3,50.0,120.0,1.766,0.382,OK,200.0,159.62,18.255
R1270,R600a,R1270/R600a,0.4,20.0,120.0,1.628,0.435,OK,100.0,100.341,23.807
R1270,R600a,R1270/R600a,0.4,20.0,120.0,1.628,0.435,OK,110.0,108.014,23.807
R1270,R600a,R1270/R600a,0.4,20.0,120.0,1.628,0.435,OK,120.0,115.687,23.807
R1270,R600a,R1270/R600a,0.4,20.0,120.0,1.628,0.435,OK,130.0,123.36,23.807
R1270,R600a,R1270/R600a,0.4,20.0,120.0,1.628,0.435,OK,140.0,131.033,23.807
R1270,R600a,R1270/R600a,0.4,20.0,120.0,1.628,0.435,OK,150.0,138.705,23.807
R1270,R600a,R1270/R600a,0.4,20.0,120.0,1.628,0.435,OK,160.0,146.378,23.807
R1270,R600a,R1270/R600a,0.4,20.0,120.0,1.628,0.435,OK,170.0,154.051,23.807
R1270,R600a,R1270/R600a,0.4,20.0,120.0,1.628,0.435,OK,180.0,161.724,23.807
R1270,R600a,R1270/R600a,0.4,20.0,120.0,1.628,0.435,OK,190.0,169.397,23.807
R1270,R600a,R1270/R600a,0.4,20.0,120.0,1.628,0.435,OK,200.0,177.07,23.807
R1270,R600a,R1270/R600a,0.4,30.0,120.0,1.756,0.424,OK,100.0,93.49,22.546
R1270,R600a,R1270/R600a,0.4,30.0,120.0,1.756,0.424,OK,110.0,100.603,22.546
R1270,R600a,R1270/R600a,0.4,30.0,120.0,1.756,0.424,OK,120.0,107.716,22.546
R1270,R600a,R1270/R600a,0.4,30.0,120.0,1.756,0.424,OK,130.0,114.828,22.546
R1270,R600a,R1270/R600a,0.4,30.0,120.0,1.756,0.424,OK,140.0,121.941,22.546
R1270,R600a,R1270/R600a,0.4,30.0,120.0,1.756,0.424,OK,150.0,129.054,22.546
R1270,R600a,R1270/R600a,0.4,30.0,120.0,1.756,0.424,OK,160.0,136.167,22.546
R1270,R600a,R1270/R600a,0.4,30.0,120.0,1.756,0.424,OK,170.0,143.28,22.546
R1270,R600a,R1270/R600a,0.4,30.0,120.0,1.756,0.424,OK,180.0,150.392,22.546
R1270,R600a,R1270/R600a,0.4,30.0,120.0,1.756,0.424,OK,190.0,157.505,22.546
R1270,R600a,R1270/R600a,0.4,30.0,120.0,1.756,0.424,OK,200.0,164.618,22.546
R1270,R600a,R1270/R600a,0.5,20.0,120.0,1.65,0.441,OK,100.0,95.619,20.073
R1270,R600a,R1270/R600a,0.5,20.0,120.0,1.65,0.441,OK,110.0,103.19,20.073
R1270,R600a,R1270/R600a,0.5,20.0,120.0,1.65,0.441,OK,120.0,110.761,20.073
R1270,R600a,R1270/R600a,0.5,20.0,120.0,1.65,0.441,OK,130.0,118.332,20.073
R1270,R600a,R1270/R600a,0.5,20.0,120.0,1.65,0.441,OK,140.0,125.903,20.073
R1270,R600a,R1270/R600a,0.5,20.0,120.0,1.65,0.441,OK,150.0,133.474,20.073
R1270,R600a,R1270/R600a,0.5,20.0,120.0,1.65,0.441,OK,160.0,141.045,20.073
R1270,R600a,R1270/R600a,0.5,20.0,120.0,1.65,0.441,OK,170.0,148.616,20.073
R1270,R600a,R1270/R600a,0.5,20.0,120.0,1.65,0.441,OK,180.0,156.187,20.073
R1270,R600a,R1270/R600a,0.5,20.0,120.0,1.65,0.441,OK,190.0,163.758,20.073
R1270,R600a,R1270/R600a,0.5,20.0,120.0,1.65,0.441,OK,200.0,171.329,20.073
R290,R600,R290/R600,0.3,20.0,120.0,1.752,0.468,V_OUT,100.0,97.505,26.424
R290,R600,R290/R600,0.3,20.0,120.0,1.752,0.468,V_OUT,110.0,104.634,26.424
R290,R600,R290/R600,0.3,20.0,120.0,1.752,0.468,V_OUT,120.0,111.764,26.424
R290,R600,R290/R600,0.3,20.0,120.0,1.752,0.468,V_OUT,130.0,118.894,26.424
R290,R600,R290/R600,0.3,20.0,120.0,1.752,0.468,V_OUT,140.0,126.023,26.424
R290,R600,R290/R600,0.3,20.0,120.0,1.752,0.468,V_OUT,150.0,133.153,26.424
R290,R600,R290/R600,0.3,20.0,120.0,1.752,0.468,V_OUT,160.0,140.283,26.424
R290,R600,R290/R600,0.3,20.0,120.0,1.752,0.468,V_OUT,170.0,147.412,26.424
R290,R600,R290/R600,0.3,20.0,120.0,1.752,0.468,V_OUT,180.0,154.542,26.424
R290,R600,R290/R600,0.3,20.0,120.0,1.752,0.468,V_OUT,190.0,161.671,26.424
R290,R600,R290/R600,0.3,20.0,120.0,1.752,0.468,V_OUT,200.0,168.801,26.424
R290,R600,R290/R600,0.3,30.0,120.0,1.904,0.46,OK,100.0,89.627,24.216
R290,R600,R290/R600,0.3,30.0,120.0,1.904,0.46,OK,110.0,96.188,24.216
R290,R600,R290/R600,0.3,30.0,120.0,1.904,0.46,OK,120.0,102.749,24.216
R290,R600,R290/R600,0.3,30.0,120.0,1.904,0.46,OK,130.0,109.31,24.216
