Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,231,193.4,37.56,0,83.74,6.636,12.87,46.04,55.42,7.488,5.256,12.74,41.24,20.37,55.37,79.6
COMP2,304.6,258.6,46.01,0,84.9,8.128,15.76,60.08,73.71,9.075,8.575,17.65,48.58,22.68,54.79,79.17
IHX,114.3,88.95,25.34,0,77.83,4.476,8.681,32.75,39.05,7.261,3.522,10.78,32.66,53.21,79.6,122
MOT1,242.4,230.3,12.12,0,95,2.141,4.153,44.1,45.43,2.205,0,2.205,0,3.018,50.52,54.79
MOT2,320.6,304.6,16.03,0,95,2.832,5.493,58.32,60.08,2.916,0,2.916,0,3.018,50.52,54.79
SNK_HX,272.9,261.9,10.99,0,95.97,1.941,3.764,88.92,93.63,3.581,3.505,7.086,49.47,9.717,90.52,99.32
SRC_HX,29.38,9.331,20.05,0,31.76,3.542,6.869,27.44,31.79,18.73,2.148,20.87,10.29,264.8,259.4,946.4
VAL1,79.12,30.04,49.08,0,37.97,8.67,16.81,22.67,28.06,14.06,0,14.06,0,225.9,79.6,259.4
VAL2,74.7,,74.7,0,,13.2,25.59,23.84,,23.84,0,23.84,0,inf,88.66,
TOT,566.1,261.9,291.9,12.32,46.26,51.56,100,102.4,125.4,52.81,23.01,75.81,30.34,164.7,50.26,133
