f1,f2,pair,ls,T_src,T_steam,status_4state,status_modern,reason,reason_modern,no_solve_class,COP,eta_Lorenz,Q_H_kW,m_steam [kg/h],T_evap_c1 [°C],T_cond_c1 [°C],T_disch_c1 [°C],T_evap_c2 [°C],T_cond_c2 [°C],T_disch_c2 [°C],p_low_c1 [bar],p_high_c1 [bar],p_low_c2 [bar],p_high_c2 [bar],V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],W_comp1 [kW],W_comp2 [kW],W_el [kW],label_c1,label_c2,scale_k,p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,p_OK_c1_modern,p_OK_c2_modern,T_OK_c1_modern,T_OK_c2_modern,V_OK_c1_modern,V_OK_c2_modern,feasible,status,m_steam [kg/s]
R290,R600,R290/R600,0.5,40,120.0,HARD,OK,"p_c1, V_c1, V_c2",,,1.825,0.418,1101.06,1800.0,15.0,90.0,107.8,80.0,125.0,126.8,7.32,37.64,10.12,24.17,853.5,789.2,348.06,225.06,603.28,R290,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600a,R717/R600a,0.3,40,120.0,HARD,OK,"p_c2, V_c1, V_c2",,,1.825,0.418,1101.06,1800.0,15.0,74.0,170.4,64.0,125.0,128.3,7.28,36.27,9.52,30.88,357.9,1142.9,173.46,399.68,603.31,R717-HP,R600a,1.0,True,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600,R1270/R600,0.4,20,120.0,HARD,OK,"p_c1, V_c1, V_c2",,,1.781,0.476,1101.06,1800.0,5.0,70.0,95.2,60.0,125.0,125.3,6.76,30.8,6.38,24.17,637.3,1291.0,232.89,354.26,618.05,R1270,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.3,50,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,1.775,0.384,1101.06,1800.0,15.0,81.0,97.5,71.0,125.0,128.7,7.32,31.91,11.11,30.88,670.8,960.9,247.89,341.36,620.26,R290,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.4,40,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,1.775,0.406,1101.06,1800.0,15.0,82.0,98.7,72.0,125.0,128.7,7.32,32.51,11.36,30.88,684.6,937.6,255.97,333.32,620.31,R290,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.5,30,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,1.769,0.427,1101.06,1800.0,15.0,85.0,102.1,75.0,125.0,128.9,7.32,34.36,12.11,30.88,727.9,871.4,281.59,309.62,622.33,R290,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600a,R1270/R600a,0.3,50,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,1.766,0.382,1101.06,1800.0,15.0,81.0,105.0,71.0,125.0,128.7,8.92,37.9,11.11,30.88,556.6,960.9,251.08,341.36,623.62,R1270,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.4,30,120.0,HARD,OK,"p_c2, V_c1, V_c2",,,1.764,0.426,1101.06,1800.0,15.0,76.0,91.9,66.0,125.0,128.4,7.32,29.04,9.96,30.88,606.1,1087.3,210.44,382.66,624.31,R290,R600a,1.0,True,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600,R290/R600,0.5,20,120.0,HARD,OK,"p_c1, V_c1, V_c2",,,1.763,0.471,1101.06,1800.0,5.0,80.0,98.6,70.0,125.0,126.0,5.51,31.32,8.09,24.17,916.5,1005.6,305.91,287.32,624.45,R290,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600,R1270/R600,0.5,20,120.0,HARD,OK,"p_c1, V_c1, V_c2",,,1.757,0.469,1101.06,1800.0,5.0,80.0,107.3,70.0,125.0,126.0,6.76,37.21,8.09,24.17,750.7,1005.6,307.95,287.32,626.6,R1270,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600a,R1270/R600a,0.4,30,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,1.756,0.424,1101.06,1800.0,15.0,76.0,98.9,66.0,125.0,128.4,8.92,34.53,9.96,30.88,503.6,1087.3,212.89,382.66,626.89,R1270,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.3,60,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,1.755,0.357,1101.06,1800.0,15.0,88.0,105.5,78.0,125.0,129.1,7.32,36.3,12.89,30.88,774.7,810.2,309.51,286.57,627.45,R290,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.4,50,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,1.755,0.379,1101.06,1800.0,15.0,88.0,105.5,78.0,125.0,129.1,7.32,36.3,12.89,30.88,774.7,810.2,309.51,286.57,627.45,R290,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.3,40,120.0,HARD,OK,"p_c2, V_c1, V_c2",,,1.754,0.401,1101.06,1800.0,15.0,74.0,89.6,64.0,125.0,128.3,7.32,27.95,9.52,30.88,581.8,1142.9,196.7,399.68,627.77,R290,R600a,1.0,True,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600a,R1270/R600a,0.3,40,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,1.747,0.4,1101.06,1800.0,15.0,74.0,96.4,64.0,125.0,128.3,8.92,33.25,9.52,30.88,483.7,1142.9,198.92,399.68,630.11,R1270,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.5,40,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,1.74,0.398,1101.06,1800.0,15.0,90.0,107.8,80.0,125.0,129.2,7.32,37.64,13.44,30.88,808.2,772.1,329.59,271.55,632.78,R290,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600a,R717/R600a,0.3,30,120.0,HARD,OK,"p_c2, V_c1, V_c2",,,1.74,0.42,1101.06,1800.0,15.0,67.0,153.2,57.0,125.0,127.9,7.28,30.9,8.1,30.88,326.1,1363.5,139.76,461.54,632.95,R717-HP,R600a,1.0,True,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.3,30,120.0,HARD,OK,"p_c2, V_c1, V_c2",,,1.701,0.411,1101.06,1800.0,15.0,67.0,81.7,57.0,125.0,127.9,7.32,24.38,8.1,30.88,503.0,1363.5,153.39,461.54,647.3,R290,R600a,1.0,True,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600a,R1270/R600a,0.3,30,120.0,HARD,OK,"p_c2, V_c1, V_c2",,,1.697,0.41,1101.06,1800.0,15.0,67.0,87.8,57.0,125.0,127.9,8.92,29.06,8.1,30.88,419.2,1363.5,154.99,461.54,648.98,R1270,R600a,1.0,True,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600a,R717/R600a,0.4,20,120.0,HARD,OK,"p_c2, T_c1, V_c1, V_c2",,,1.69,0.451,1101.06,1800.0,5.0,70.0,184.5,60.0,125.0,128.0,5.16,33.12,8.69,30.88,449.2,1263.7,184.36,434.6,651.53,R717-HP,R600a,1.0,True,False,False,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600,R290/R600,0.6,20,120.0,HARD,OK,"p_c1, V_c1, V_c2",,,1.669,0.446,1101.06,1800.0,5.0,90.0,109.9,80.0,125.0,126.8,5.51,37.64,10.12,24.17,1095.7,789.2,401.55,225.06,659.59,R290,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.5,20,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,1.655,0.442,1101.06,1800.0,5.0,80.0,98.6,70.0,125.0,128.6,5.51,31.32,10.88,30.88,846.5,984.8,282.54,349.47,665.28,R290,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600a,R1270/R600a,0.5,20,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,1.65,0.441,1101.06,1800.0,5.0,80.0,107.3,70.0,125.0,128.6,6.76,37.21,10.88,30.88,693.4,984.8,284.43,349.47,667.27,R1270,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.4,20,120.0,HARD,OK,"p_c2, V_c1, V_c2",,,1.631,0.436,1101.06,1800.0,5.0,70.0,87.5,60.0,125.0,128.0,5.51,25.87,8.69,30.88,691.6,1263.7,206.57,434.6,674.92,R290,R600a,1.0,True,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600a,R1270/R600a,0.4,20,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,1.628,0.435,1101.06,1800.0,5.0,70.0,95.2,60.0,125.0,128.0,6.76,30.8,8.69,30.88,568.7,1263.7,207.84,434.6,676.25,R1270,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.6,20,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,1.605,0.429,1101.06,1800.0,5.0,90.0,109.9,80.0,125.0,129.2,5.51,37.64,13.44,30.88,1037.5,772.1,380.24,271.55,686.09,R290,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.4,30,120.0,V_ONLY,OK,"V_c1, V_c2",,,2.032,0.491,1101.06,1800.0,15.0,76.0,175.2,66.0,125.0,125.7,7.28,37.93,7.37,24.17,402.1,1110.2,201.25,313.54,541.88,R717-HP,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.3,40,120.0,V_ONLY,OK,"V_c1, V_c2",,,2.018,0.462,1101.06,1800.0,15.0,74.0,170.4,64.0,125.0,125.5,7.28,36.27,7.03,24.17,395.1,1167.1,191.45,326.93,545.66,R717-HP,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.3,30,120.0,V_ONLY,OK,"V_c1, V_c2",,,1.959,0.473,1101.06,1800.0,15.0,67.0,153.2,57.0,125.0,125.1,7.28,30.9,5.93,24.17,370.1,1393.7,158.62,375.24,561.96,R717-HP,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600,R290/R600,0.3,40,120.0,V_ONLY,OK,"V_c1, V_c2",,,1.923,0.44,1101.06,1800.0,15.0,74.0,89.6,64.0,125.0,125.5,7.32,27.95,7.03,24.17,642.2,1167.1,217.11,326.93,572.67,R290,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600,R290/R600,0.4,30,120.0,V_ONLY,OK,"V_c1, V_c2",,,1.922,0.464,1101.06,1800.0,15.0,76.0,91.9,66.0,125.0,125.7,7.32,29.04,7.37,24.17,664.4,1110.2,230.68,313.54,572.87,R290,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600,R290/R600,0.3,30,120.0,V_ONLY,OK,"V_c1, V_c2",,,1.904,0.46,1101.06,1800.0,15.0,67.0,81.7,57.0,125.0,125.1,7.32,24.38,5.93,24.17,570.9,1393.7,174.09,375.24,578.24,R290,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600,R1270/R600,0.3,30,120.0,V_ONLY,OK,"V_c1, V_c2",,,1.898,0.459,1101.06,1800.0,15.0,67.0,87.8,57.0,125.0,125.1,8.92,29.06,5.93,24.17,475.7,1393.7,175.91,375.24,580.16,R1270,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600,R290/R600,0.4,20,120.0,V_ONLY,OK,"V_c1, V_c2",,,1.786,0.477,1101.06,1800.0,5.0,70.0,87.5,60.0,125.0,125.3,5.51,25.87,6.38,24.17,775.0,1291.0,231.47,354.26,616.56,R290,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
