f1,f2,pair,ls,T_src,T_steam,status_4state,status_modern,reason,reason_modern,no_solve_class,COP,eta_Lorenz,Q_H_kW,m_steam [kg/h],T_evap_c1 [°C],T_cond_c1 [°C],T_disch_c1 [°C],T_evap_c2 [°C],T_cond_c2 [°C],T_disch_c2 [°C],p_low_c1 [bar],p_high_c1 [bar],p_low_c2 [bar],p_high_c2 [bar],V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],W_comp1 [kW],W_comp2 [kW],W_el [kW],label_c1,label_c2,scale_k,p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,p_OK_c1_modern,p_OK_c2_modern,T_OK_c1_modern,T_OK_c2_modern,V_OK_c1_modern,V_OK_c2_modern,feasible,status,m_steam [kg/s]
R290,R600,R290/R600,0.7,60,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R290: T_cond_c1=107.0 °C ≥ T_crit=96.7 °C,
R1270,R600a,R1270/R600a,0.3,20,120.0,HARD,V_ONLY,"p_c2, V_c1, V_c2",V_c2,,1.553,0.415,1101.06,1800.0,5.0,60.0,82.9,50.0,125.0,127.6,6.76,25.28,6.85,30.88,460.6,1632.4,146.49,526.84,708.76,R1270,R600a,1.0,True,False,True,True,False,False,True,True,True,True,True,False,False,ok,0.5
R1270,R600a,R1270/R600a,0.3,30,120.0,HARD,OK,"p_c2, V_c1, V_c2",,,1.697,0.41,1101.06,1800.0,15.0,67.0,87.8,57.0,125.0,127.9,8.92,29.06,8.1,30.88,419.2,1363.5,154.99,461.54,648.98,R1270,R600a,1.0,True,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600a,R1270/R600a,0.3,40,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,1.747,0.4,1101.06,1800.0,15.0,74.0,96.4,64.0,125.0,128.3,8.92,33.25,9.52,30.88,483.7,1142.9,198.92,399.68,630.11,R1270,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600a,R1270/R600a,0.3,50,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,1.766,0.382,1101.06,1800.0,15.0,81.0,105.0,71.0,125.0,128.7,8.92,37.9,11.11,30.88,556.6,960.9,251.08,341.36,623.62,R1270,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600a,R1270/R600a,0.3,60,120.0,HARD,HARD,"p_c1, p_c2, V_c1, V_c2",p_c1,,1.741,0.354,1101.06,1800.0,15.0,88.0,113.6,78.0,125.0,129.1,8.92,43.08,12.89,30.88,641.9,810.2,314.27,286.57,632.46,R1270,R600a,1.0,False,False,True,True,False,False,False,True,True,True,True,True,False,ok,0.5
R1270,R600a,R1270/R600a,0.4,20,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,1.628,0.435,1101.06,1800.0,5.0,70.0,95.2,60.0,125.0,128.0,6.76,30.8,8.69,30.88,568.7,1263.7,207.84,434.6,676.25,R1270,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600a,R1270/R600a,0.4,30,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,1.756,0.424,1101.06,1800.0,15.0,76.0,98.9,66.0,125.0,128.4,8.92,34.53,9.96,30.88,503.6,1087.3,212.89,382.66,626.89,R1270,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600a,R1270/R600a,0.4,40,120.0,HARD,HARD,"p_c1, p_c2, V_c1, V_c2",p_c1,,1.765,0.404,1101.06,1800.0,15.0,82.0,106.2,72.0,125.0,128.7,8.92,38.61,11.36,30.88,567.9,937.6,259.34,333.32,623.85,R1270,R600a,1.0,False,False,True,True,False,False,False,True,True,True,True,True,False,ok,0.5
R1270,R600a,R1270/R600a,0.4,50,120.0,HARD,HARD,"p_c1, p_c2, V_c1, V_c2",p_c1,,1.741,0.376,1101.06,1800.0,15.0,88.0,113.6,78.0,125.0,129.1,8.92,43.08,12.89,30.88,641.9,810.2,314.27,286.57,632.46,R1270,R600a,1.0,False,False,True,True,False,False,False,True,True,True,True,True,False,ok,0.5
R1270,R600a,R1270/R600a,0.4,60,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,Pcrit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R1270: p_cond_c1=43.9 bar ≥ 0.95·p_crit=43.3 bar,
R1270,R600a,R1270/R600a,0.5,20,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,1.65,0.441,1101.06,1800.0,5.0,80.0,107.3,70.0,125.0,128.6,6.76,37.21,10.88,30.88,693.4,984.8,284.43,349.47,667.27,R1270,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600a,R1270/R600a,0.5,30,120.0,HARD,HARD,"p_c1, p_c2, V_c1, V_c2",p_c1,,1.757,0.425,1101.06,1800.0,15.0,85.0,109.9,75.0,125.0,128.9,8.92,40.79,12.11,30.88,603.5,871.4,285.59,309.62,626.54,R1270,R600a,1.0,False,False,True,True,False,False,False,True,True,True,True,True,False,ok,0.5
R1270,R600a,R1270/R600a,0.5,40,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TESPy did not converge,
R1270,R600a,R1270/R600a,0.5,50,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,Pcrit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R1270: p_cond_c1=44.7 bar ≥ 0.95·p_crit=43.3 bar,
R1270,R600a,R1270/R600a,0.5,60,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R1270: T_cond_c1=95.0 °C ≥ T_crit=91.1 °C,
R1270,R600a,R1270/R600a,0.6,20,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TESPy did not converge,
R1270,R600a,R1270/R600a,0.6,30,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,Pcrit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R1270: p_cond_c1=43.9 bar ≥ 0.95·p_crit=43.3 bar,
R1270,R600a,R1270/R600a,0.6,40,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R1270: T_cond_c1=93.0 °C ≥ T_crit=91.1 °C,
