Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,176.5,146.7,29.85,0,83.09,5.433,10.15,35.69,45.4,6.037,4.768,10.8,44.13,27.2,56.17,85.99
COMP2,343.4,290.2,53.22,0,84.5,9.687,18.1,68.75,86.68,10.65,9.129,19.78,46.15,26.09,55.6,82.97
IHX,84.62,59.78,24.84,0,70.65,4.52,8.446,26.2,34.15,7.689,3.843,11.53,33.33,84.52,85.99,158.7
MOT1,185.1,175.8,9.253,0,95,1.684,3.147,33.66,35.19,1.683,0,1.683,0,4.549,50.52,55.6
MOT2,361.5,343.4,18.08,0,95,3.29,6.147,65.76,68.75,3.288,0,3.288,0,4.549,50.52,55.6
SNK_HX,253.6,241.9,11.74,0,95.37,2.137,3.993,88.12,93.7,4.08,3.638,7.718,47.14,11.5,96.51,107.6
SRC_HX,32.65,10.63,22.02,0,32.57,4.007,7.487,23.45,29.25,15.81,2.153,17.97,11.98,283,199.5,764
VAL1,62.04,33.35,28.69,0,53.76,5.221,9.755,19.21,23.95,8.881,0,8.881,0,132,85.99,199.5
VAL2,96.38,,96.38,0,,17.54,32.77,32.71,,32.71,0,32.71,0,inf,94.28,
TOT,549.5,241.9,294.1,13.53,44.02,53.52,100,99.42,122.9,53.21,23.53,76.74,30.66,180.9,50.26,141.2
