Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,136.9,113.8,23.18,0,83.07,3.305,5.612,29.47,43.15,4.99,4.289,9.278,46.22,46.41,59.78,105.4
COMP2,526.8,449.5,77.34,0,85.32,11.03,18.72,112.1,154.9,16.46,11.5,27.96,41.14,38.21,59.1,95.74
IHX,70.17,53.85,16.32,0,76.74,2.327,3.951,26.62,39.04,6.192,5.808,12,48.4,91.1,105.4,201.4
MOT1,143.8,136.7,7.192,0,95,1.025,1.741,26.16,29.08,1.308,0,1.308,0,11.13,50.52,59.1
MOT2,554.6,526.8,27.73,0,95,3.953,6.713,100.9,112.1,5.043,0,5.043,0,11.13,50.52,59.1
SNK_HX,290.6,280.1,10.55,0,96.37,1.504,2.555,112.8,121,4.097,3.921,8.018,48.91,11.31,107.8,120
SRC_HX,18.47,5.286,13.19,0,28.61,1.88,3.192,26.19,33.41,18.7,1.873,20.57,9.104,345.8,393.9,1756
VAL1,43.58,18.75,24.83,0,43.03,3.54,6.01,16.53,26.59,9.418,0,9.418,0,273.8,105.4,393.9
VAL2,212.7,,212.7,0,,30.33,51.5,81.14,,81.14,0,81.14,0,inf,105.9,
TOT,701.4,280.1,413.1,8.271,39.93,58.89,100,127,154.4,74.81,27.39,102.2,26.8,204.5,50.31,153.2
