Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,212.6,179.2,33.36,0,84.3,5.537,10.34,45.02,61.69,7.066,3.794,10.86,34.93,37.04,58.83,95.63
COMP2,333.3,284.6,48.75,0,85.38,8.09,15.11,70.59,96.07,10.32,6.66,16.98,39.21,36.1,58.83,93.78
IHX,138.4,116.2,22.2,0,83.96,3.684,6.882,51.16,64.79,8.206,5.067,13.27,38.18,50.86,102.7,154.9
MOT1,223.8,212.6,11.19,0,95,1.857,3.469,40.7,45.02,2.035,0,2.035,0,10.61,50.52,58.83
MOT2,350.9,333.3,17.54,0,95,2.911,5.439,63.82,70.59,3.191,0,3.191,0,10.61,50.52,58.83
SNK_HX,290.8,280.1,10.77,0,96.3,1.787,3.339,118,126.2,4.371,3.998,8.37,47.77,11.02,112.7,125.2
SRC_HX,27.97,11.63,16.33,0,41.59,2.711,5.065,-2.264e-14,8.465,-1.322e-14,2.158,2.158,100,inf,-2.249e-13,202.1
VAL1,52.45,,52.45,0,,8.705,16.26,19,,19,0,19,0,inf,100.6,
VAL2,109.9,,109.9,0,,18.24,34.08,42.83,,42.83,0,42.83,0,inf,108.2,
TOT,602.6,280.1,322.5,0,46.48,53.52,100,104.5,126.2,55.94,21.68,77.62,27.93,159.8,48.18,125.2
