Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,165.8,142.2,23.57,0,85.78,4.214,8.27,34.45,42.03,4.899,3.167,8.066,39.27,22,57.73,82.1
COMP2,363.1,308.3,54.85,0,84.9,9.803,19.24,73.1,94.14,11.04,10.78,21.82,49.4,28.79,55.92,84.83
IHX,99.98,63.74,36.23,0,63.76,6.477,12.71,29.55,38.39,10.71,2.059,12.77,16.13,103.8,82.1,167.3
MOT1,174.3,165.5,8.713,0,95,1.557,3.057,31.7,34.34,1.585,1.012,2.597,38.97,8.338,50.52,57.62
MOT2,382.2,363.1,19.11,0,95,3.416,6.704,69.52,73.1,3.476,0,3.476,0,5.146,50.52,55.92
SNK_HX,272.9,261.9,10.99,0,95.97,1.964,3.854,97.73,103.3,3.935,3.503,7.438,47.09,10.12,99.49,109.6
SRC_HX,30.06,9.536,20.52,0,31.73,3.668,7.199,14.6,20.51,9.971,2.063,12.03,17.14,342.6,135,597.4
VAL1,42.23,30.29,11.94,0,71.72,2.134,4.189,12.48,14.72,3.529,0,3.529,0,64.39,82.1,135
VAL2,99.14,,99.14,0,,17.72,34.78,34.8,,34.8,0,34.8,0,inf,97.51,
TOT,559.5,261.9,285.1,12.52,46.81,50.95,100,101.2,123.8,51.57,22.58,74.16,30.45,161.3,50.25,131.3
