Connection,Kind,Energy Flow [kW],Exergy Flow [kW],C^TOT [EUR/h],c^TOT [EUR/GJ_ex]
e1,power,568.2,568.2,103.4,50.52
e2,power,186,186,33.84,50.52
e3,power,176.7,176.7,35.41,55.66
e4,power,382.2,382.2,69.52,50.52
e5,power,363.1,363.1,72.75,55.66
