Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,328.3,277.1,51.22,0,84.4,8.25,15.03,64.14,74.56,10.01,6.624,16.63,39.83,16.25,54.27,74.75
COMP2,237.1,202.3,34.87,0,85.29,5.617,10.23,46.33,54.84,6.813,5.92,12.73,46.49,18.36,54.27,75.31
IHX,166.5,143.1,23.41,0,85.94,3.77,6.869,85.97,89.43,12.09,1.731,13.82,12.53,21.06,143.5,173.7
MOT1,345.6,328.3,17.28,0,95,2.783,5.07,62.85,64.14,3.143,0,3.143,0,2.04,50.52,54.27
MOT2,249.6,237.1,12.48,0,95,2.01,3.662,45.4,46.33,2.27,0,2.27,0,2.04,50.52,54.27
SNK_HX,290.4,280.1,10.36,0,96.43,1.668,3.039,123.1,127.4,4.388,3.612,8,45.15,7.389,117.7,126.4
SRC_HX,34.66,1.128e-06,34.66,0,3.254e-06,5.583,10.17,54.4,58.26,54.4,1.288,55.69,2.313,inf,436,1.435e+10
VAL1,110.6,8.986,101.6,0,8.124,16.37,29.82,46.86,54.4,43.05,0,43.05,0,1329,117.7,1682
VAL2,54.9,,54.9,0,,8.842,16.11,21.22,,21.22,0,21.22,0,inf,107.4,
TOT,620.9,280.1,340.8,0,45.11,54.89,100,108.3,127.4,59.42,19.17,78.6,24.4,161,48.43,126.4
