Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,171.9,142.9,28.99,0,83.13,4.596,8.54,35.51,47.38,5.991,5.19,11.18,46.42,33.43,57.4,92.13
COMP2,425.8,363.1,62.7,0,85.27,9.94,18.47,86.68,112.8,12.76,11.64,24.4,47.69,30.09,56.55,86.28
IHX,82.69,63.08,19.61,0,76.28,3.109,5.777,27.43,36.21,6.505,4.265,10.77,39.6,73.09,92.13,159.5
MOT1,180.2,171.2,9.01,0,95,1.428,2.654,32.78,34.85,1.639,0,1.639,0,6.336,50.52,56.55
MOT2,448.2,425.8,22.41,0,95,3.553,6.6,81.52,86.68,4.076,0,4.076,0,6.336,50.52,56.55
SNK_HX,290.4,280.1,10.31,0,96.45,1.635,3.037,102,107.9,3.622,3.468,7.091,48.91,9.621,97.6,107
SRC_HX,27.01,8.803,18.21,0,32.59,2.886,5.362,26.79,32.85,18.06,1.866,19.92,9.365,276.2,275.5,1037
VAL1,60.17,27.67,32.5,0,45.99,5.152,9.572,19.96,27.45,10.78,0,10.78,0,199,92.13,275.5
VAL2,135.8,,135.8,0,,21.53,39.99,46.96,,46.96,0,46.96,0,inf,96.07,
TOT,630.8,280.1,339.5,11.2,44.4,53.82,100,114.3,140.7,61.52,26.42,87.94,30.05,177.3,50.33,139.6
