metric,value,unit
COP (= η_gas),0.9,-
ε (exergy efficiency),0.2057,-
E_F (fuel chemical exergy),2546.71,kW
E_P (steam exergy gain),523.73,kW
E_D (exergy destruction),1914.06,kW
Q_H (steam duty),2229.65,kW
Q_gas (LHV thermal input),2477.38,kW
ṁ_CO2 (combustion),489.0613,kg/h
c_P (with CO2 charge),97.868,EUR/GJ_ex
Z_sum (retrofit ⇒ 0),0.0,EUR/h
