Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
CC,1258,866.6,391.3,0,68.89,30.73,40.89,92.21,92.21,28.69,0,28.69,0,45.16,20.36,29.56
GAS_HX,827.6,261.9,565.7,0,31.64,44.43,59.11,88.06,88.06,60.19,0,60.19,0,216,29.56,93.41
TOT,1273,261.9,957,54.46,20.57,75.16,100,92.26,92.26,69.34,0,69.34,0,386.3,20.13,97.87
