Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,220,184.1,35.9,0,83.69,7.063,13.63,43.18,51.1,7.045,4.669,11.71,39.86,18.34,54.51,77.09
COMP2,250.1,211.4,38.7,0,84.52,7.614,14.69,49.07,59.17,7.595,6.597,14.19,46.49,20.59,54.51,77.77
IHX,127.5,101.2,26.34,0,79.34,5.183,10,35.38,41.84,7.31,4.069,11.38,35.76,49.04,77.09,114.9
MOT1,231.6,220,11.58,0,95,2.278,4.397,42.13,43.18,2.106,0,2.106,0,2.491,50.52,54.51
MOT2,263.2,250.1,13.16,0,95,2.589,4.997,47.88,49.07,2.394,0,2.394,0,2.491,50.52,54.51
SNK_HX,253.7,241.9,11.79,0,95.35,2.319,4.475,82.48,87.24,3.832,3.69,7.522,49.05,10.92,90.32,100.2
SRC_HX,22.79,0.0261,22.77,0,0.1145,4.479,8.644,19.73,24.08,19.71,2.282,21.99,10.38,1.065e+05,240.5,2.563e+05
VAL1,56.64,12.34,44.31,0,21.78,8.717,16.82,15.72,19.73,12.3,0,12.3,0,476.3,77.09,444.3
VAL2,58.84,,58.84,0,,11.58,22.34,18.53,,18.53,0,18.53,0,inf,87.48,
TOT,508.3,241.9,263.4,3.011,47.59,51.82,100,90,111.3,46.64,21.31,67.95,31.36,159.9,49.19,127.8
