label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_PUMP,30.0,40.0,3.0,167.792,0.5723,0.030233,33.077,3265.13,2727.85,199.02,2926.88
12,water (source),SRC_PUMP,SRC_HX,30.0,40.0,3.15,167.811,0.5723,0.030232,33.077,3265.11,2728.19,214.05,2942.23
13,water (source),SRC_HX,source outlet,30.0,30.07,3.0,126.281,0.4376,0.030129,33.191,3253.93,706.37,199.02,905.4
21,R290,SRC_HX,COMP1,7.15773,29.34,9.3619,610.198,2.3845,0.364138,2.746,9383.06,5228.39,109544.91,114773.3
22,R290,COMP1,IHX,7.15773,100.85,34.6272,685.958,2.4253,0.094088,10.628,2424.44,64021.5,114560.28,178581.78
22c,R290,IHX,cc1,7.15773,79.95,34.3272,436.136,1.7315,0.018846,53.061,485.63,17640.67,114501.11,132141.78
23,R290,cc1,VAL1,7.15773,79.95,34.3272,436.136,1.7315,0.018846,53.061,485.63,17640.67,114501.11,132141.78
24,R290,VAL1,SRC_HX,7.15773,25.07,9.5369,436.136,1.7982,0.183559,5.448,4729.92,3019.48,109579.88,112599.36
31,R600a,IHX,COMP2,12.31454,79.41,11.9568,662.479,2.3895,0.405334,2.467,17969.4,54945.33,45024.93,99970.26
32,R600a,COMP2,SNK_HX,12.31454,118.81,26.2702,698.328,2.4078,0.156137,6.405,6921.93,82862.62,47580.96,130443.58
32c,R600a,SNK_HX,cc2,12.31454,115.0,26.0202,517.272,1.9423,0.031628,31.617,1402.16,38314.01,47536.42,85850.43
33,R600a,cc2,VAL2,12.31454,115.0,26.0202,517.272,1.9423,0.031628,31.617,1402.16,38314.01,47536.42,85850.43
34,R600a,VAL2,IHX,12.31454,75.0,12.1068,517.272,1.9712,0.201095,4.973,8915.02,32325.48,45051.78,77377.26
41,water (sink),sink inlet,SNK_PUMP,1.0,110.0,1.4338,461.415,1.4188,0.001052,950.948,3.79,48344.92,42.13,48387.05
42,water (sink),SNK_PUMP,SNK_HX,1.0,110.0,1.6088,461.438,1.4188,0.001052,950.955,3.79,48346.87,59.66,48406.53
43,water (sink),SNK_HX,sink outlet,1.0,110.0,1.4338,2691.061,7.2381,1.209293,0.827,4353.45,572077.54,42.13,572119.67
