Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,269,226.5,42.5,0,84.2,7.679,15.27,48.54,64.2,7.668,5.106,12.77,39.97,32.26,50.12,78.73
COMP2,215,182.8,32.29,0,84.98,5.835,11.6,38.8,51.98,5.826,5.158,10.98,46.96,33.96,50.12,79.01
IHX,166.2,142.6,23.6,0,85.8,4.264,8.482,50.24,61.28,7.135,5.177,12.31,42.05,42.16,83.98,119.4
MOT1,283.2,269,14.16,0,95,2.558,5.088,45.02,48.54,2.251,0,2.251,0,7.81,44.17,50.12
MOT2,226.4,215,11.32,0,95,2.045,4.068,35.99,38.8,1.8,0,1.8,0,7.81,44.17,50.12
SNK_HX,273.1,261.9,11.22,0,95.89,2.028,4.033,95.93,102.5,3.942,3.732,7.675,48.63,11.37,97.58,108.7
SRC_HX,30.59,10.74,19.85,0,35.12,3.586,7.133,-3.747e-13,7.193,-2.431e-13,2.264,2.264,100,inf,-3.403e-12,186
VAL1,71.08,,71.08,0,,12.84,25.54,21.15,,21.15,0,21.15,0,inf,82.67,
VAL2,52.23,,52.23,0,,9.438,18.77,17.33,,17.33,0,17.33,0,inf,92.13,
TOT,553.4,261.9,278.2,13.31,47.32,50.28,100,81.01,102.5,40.73,21.44,62.17,34.48,167.3,40.66,108.7
