Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,274.9,232.1,42.82,0,84.42,6.49,11.56,55.5,67.25,8.645,5.509,14.15,38.92,21.16,56.08,80.49
COMP2,349.5,298.3,51.13,0,85.37,7.75,13.8,69.59,84,10.18,6.964,17.15,40.62,20.71,55.31,78.21
IHX,133.7,110,23.63,0,82.32,3.582,6.379,38.73,46.67,6.847,4.497,11.34,39.64,46.38,80.49,117.8
MOT1,288.9,274.4,14.44,0,95,2.189,3.9,52.54,54.65,2.627,0,2.627,0,4.005,50.52,55.31
MOT2,367.9,349.5,18.39,0,95,2.788,4.966,66.91,69.59,3.346,0,3.346,0,4.005,50.52,55.31
SNK_HX,290.8,280.1,10.75,0,96.3,1.629,2.901,93.84,99.4,3.468,3.993,7.46,53.52,9.987,89.63,98.59
SRC_HX,21.21,6.294,14.92,0,29.67,2.261,4.027,38.85,43.02,27.32,1.997,29.32,6.812,273.2,508.8,1899
VAL1,98.43,21.68,76.75,0,22.02,11.63,20.72,28.52,39.7,22.24,0,22.24,0,532.1,80.49,508.8
VAL2,117.6,,117.6,0,,17.82,31.74,36.83,,36.83,0,36.83,0,inf,87.03,
TOT,659.7,280.1,370.4,9.279,42.45,56.14,100,119.5,142.4,67.07,22.96,90.03,25.5,180.8,50.3,141.3
