Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,233.2,202.1,31.08,0,86.67,6.48,14.27,47.35,54.95,6.311,3.957,10.27,38.54,16.03,56.4,75.51
COMP2,191.6,162.7,28.91,0,84.91,6.027,13.27,37.87,46.89,5.713,5.645,11.36,49.7,23.84,54.89,80.06
IHX,188.3,146.2,42.13,0,77.63,8.784,19.34,53.36,60.62,11.94,2.329,14.27,16.32,46.34,78.72,115.2
MOT1,245.5,233.2,12.28,0,95,2.559,5.636,44.65,47.35,2.233,1.264,3.497,36.16,6.047,50.52,56.4
MOT2,201.7,191.6,10.09,0,95,2.103,4.631,36.69,37.87,1.834,0,1.834,0,3.215,50.52,54.89
SNK_HX,272.9,261.9,11.02,0,95.96,2.298,5.06,95.49,100.4,3.857,3.609,7.466,48.34,9.554,97.2,106.5
SRC_HX,32.44,9.368,23.07,0,28.88,4.81,10.59,1.089e-13,4.939,7.745e-14,2.241,2.241,100,inf,9.324e-13,146.5
VAL1,23.22,,23.22,0,,4.84,10.66,6.526,,6.526,0,6.526,0,inf,78.09,
VAL2,35.99,,35.99,0,,7.504,16.53,12.02,,12.02,0,12.02,0,inf,92.77,
TOT,479.7,261.9,217.8,0,54.59,45.41,100,81.34,100.4,36.93,19.05,55.98,34.02,126.1,47.11,106.5
