Connection,Kind,Energy Flow [kW],Exergy Flow [kW],C^TOT [EUR/h],c^TOT [EUR/GJ_ex]
e1,power,557.1,557.1,88.59,44.17
e2,power,231.4,231.4,36.79,44.17
e3,power,219.8,219.8,40.6,51.31
e4,power,325.8,325.8,51.79,44.17
e5,power,309.5,309.5,57.16,51.31
