Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,174.1,145.1,28.98,0,83.35,4.934,9.429,35.45,46.75,5.902,4.599,10.5,43.8,31.88,56.56,89.5
COMP2,375.2,320,55.26,0,85.27,9.406,17.98,76.41,98.81,11.25,9.616,20.87,46.08,29.31,56.56,85.77
IHX,101.8,81.72,20.09,0,80.26,3.42,6.537,60.92,70.07,12.02,4.505,16.53,27.26,43.31,166.2,238.2
MOT1,183.3,174.1,9.163,0,95,1.56,2.981,33.33,35.45,1.667,0,1.667,0,6.358,50.52,56.56
MOT2,395,375.2,19.75,0,95,3.362,6.425,71.84,76.41,3.592,0,3.592,0,6.358,50.52,56.56
SNK_HX,290.4,280.1,10.31,0,96.45,1.755,3.354,123.5,129.4,4.386,3.475,7.861,44.2,8.599,118.2,128.3
SRC_HX,18.56,7.836e-07,18.56,0,4.222e-06,3.16,6.039,27.38,33.69,27.38,2.02,29.4,6.872,inf,409.7,1.194e+10
VAL1,43.3,9.353,33.94,0,21.6,5.778,11.04,19.53,27.38,15.31,0,15.31,0,549,125.3,813.1
VAL2,111.3,,111.3,0,,18.95,36.22,45.34,,45.34,0,45.34,0,inf,113.1,
TOT,587.5,280.1,307.4,0,47.67,52.33,100,105.2,129.4,55.03,24.22,79.25,30.56,158.1,49.73,128.3
