Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,183.4,152.8,30.64,0,83.29,6.235,12.43,36.07,43.47,6.026,4.373,10.4,42.05,20.52,54.64,79.05
COMP2,270.6,228.7,41.96,0,84.5,8.539,17.03,53.22,66.02,8.251,8.653,16.9,51.19,24.05,54.63,80.2
IHX,108.3,82.33,25.93,0,76.05,5.277,10.52,30.81,37.02,7.38,3.649,11.03,33.09,58.01,79.05,124.9
MOT1,193,183.4,9.652,0,95,1.964,3.917,35.11,36.07,1.756,0,1.756,0,2.718,50.52,54.63
MOT2,284.9,270.6,14.24,0,95,2.899,5.78,51.81,53.22,2.591,0,2.591,0,2.718,50.52,54.63
SNK_HX,253.6,241.9,11.72,0,95.38,2.385,4.756,84.36,89.07,3.899,3.553,7.452,47.68,10.7,92.4,102.3
SRC_HX,23.73,0.06028,23.67,0,0.254,4.817,9.605,15.75,20.38,15.71,2.292,18,12.74,5.084e+04,184.3,9.39e+04
VAL1,44.5,13.28,31.22,0,29.83,6.355,12.67,12.66,15.75,8.886,0,8.886,0,316.9,79.05,329.6
VAL2,57.39,,57.39,0,,11.68,23.29,18.69,,18.69,0,18.69,0,inf,90.45,
TOT,491.3,241.9,246.4,3.046,49.23,50.15,100,86.92,109.4,43.59,22.52,66.12,34.06,155.8,49.14,125.7
