Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,169.9,141.6,28.3,0,83.34,4.845,9.306,34.62,45.73,5.767,4.485,10.25,43.75,32.08,56.6,89.7
COMP2,375.2,320,55.26,0,85.27,9.459,18.17,76.46,99.01,11.26,9.616,20.88,46.06,29.48,56.6,85.95
IHX,101.8,81.72,20.04,0,80.31,3.431,6.59,59.58,68.8,11.73,4.538,16.27,27.89,43.81,162.6,233.9
MOT1,178.8,169.9,8.942,0,95,1.531,2.941,32.53,34.62,1.626,0,1.626,0,6.431,50.52,56.6
MOT2,395,375.2,19.75,0,95,3.381,6.495,71.84,76.46,3.592,0,3.592,0,6.431,50.52,56.6
SNK_HX,290.4,280.1,10.31,0,96.45,1.765,3.391,122.7,128.6,4.357,3.475,7.832,44.37,8.655,117.4,127.6
SRC_HX,17.56,0.01017,17.55,0,0.05791,3.004,5.77,25.81,32.03,25.8,2.117,27.91,7.584,2.142e+05,408.4,8.752e+05
VAL1,39.85,7.237,32.61,0,18.16,5.582,10.72,18.18,25.81,14.88,0,14.88,0,681.6,126.8,990.8
VAL2,111.3,,111.3,0,,19.06,36.61,45.09,,45.09,0,45.09,0,inf,112.5,
TOT,584.1,280.1,304.1,0,47.94,52.06,100,104.4,128.6,54.33,24.23,78.56,30.84,157,49.63,127.6
