Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,217.1,181.7,35.36,0,83.71,5.985,11.38,43.41,54.25,7.07,5.15,12.22,42.15,24.99,55.54,82.92
COMP2,326.9,278.8,48.14,0,85.28,8.147,15.49,65.37,81.2,9.624,8.085,17.71,45.65,24.23,55.54,80.91
IHX,122.5,101.4,21.07,0,82.8,3.566,6.779,68.3,76.15,11.75,4.459,16.21,27.51,34.67,154.9,208.6
MOT1,228.5,217.1,11.43,0,95,1.934,3.677,41.57,43.41,2.078,0,2.078,0,4.428,50.52,55.54
MOT2,344.1,326.9,17.21,0,95,2.912,5.536,62.59,65.37,3.13,0,3.13,0,4.428,50.52,55.54
SNK_HX,290.4,280.1,10.32,0,96.45,1.746,3.319,121.8,126.9,4.325,3.524,7.849,44.89,8.099,116.5,125.9
SRC_HX,27.61,8.815e-07,27.61,0,3.193e-06,4.672,8.882,33.86,39.87,33.86,1.567,35.42,4.423,inf,340.7,1.256e+10
VAL1,59.28,9.42,49.86,0,15.89,8.439,16.04,25.83,33.86,21.72,0,21.72,0,725,121,998.4
VAL2,89.81,,89.81,0,,15.2,28.9,35.59,,35.59,0,35.59,0,inf,110.1,
TOT,590.9,280.1,310.8,0,47.4,52.6,100,104.2,126.9,54.79,22.79,77.57,29.37,157.1,48.97,125.9
