Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],e^CH [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^CH [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^CH [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
g1,1.012,20,1.013,293.6,6842,2.047,0,0,0,2.023,0,-0,-0,0,0,0,-0,0
g2,0.04891,20,1.013,898.8,6637,2513,5.332e-13,5.332e-13,0,5.138e+04,-0,-0,143.9,143.9,-0,0,15.9,15.9
g3,1.061,1793,1.013,2864,8940,1742,1614,1614,0,28.73,143.8,0,0.08044,143.9,23.33,0,0.7332,22.94
g4,1.061,227.8,1.013,788.1,7116,107.6,72.68,72.68,0,28.73,6.476,-0,0.08044,6.556,23.33,0,0.7332,16.93
w1,1,120,1.987,503.8,1528,61.3,58.81,58.71,0.09752,2.498,0,0,0,0,0,0,0,0
w2,1,120,1.987,2706,7129,621.4,618.9,618.8,0.09752,2.498,137.3,-0,-0,143.9,61.63,-0,-0,64.31
