Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,180.2,150.4,29.81,0,83.46,5.582,10.95,36.05,45.1,5.964,4.172,10.14,41.16,25.11,55.58,83.31
COMP2,317.3,269.4,47.93,0,84.9,8.977,17.61,63.49,80.34,9.59,9.002,18.59,48.42,26.53,55.58,82.83
IHX,107.1,83.22,23.92,0,77.68,4.479,8.789,56.05,63.71,12.51,3.741,16.25,23.02,46.32,145.3,212.6
MOT1,189.6,180.2,9.482,0,95,1.776,3.485,34.49,36.05,1.725,0,1.725,0,4.498,50.52,55.58
MOT2,334,317.3,16.7,0,95,3.128,6.138,60.76,63.49,3.038,0,3.038,0,4.498,50.52,55.58
SNK_HX,272.9,261.9,10.99,0,95.97,2.058,4.038,112.6,117.9,4.533,3.503,8.036,43.59,9.102,114.6,125
SRC_HX,20.79,8.003e-07,20.79,0,3.85e-06,3.893,7.639,22.39,27.99,22.39,2.197,24.59,8.937,inf,299.2,9.714e+09
VAL1,43.22,10.48,32.74,0,24.26,6.131,12.03,17.03,22.39,12.9,0,12.9,0,441.9,109.5,593.2
VAL2,79.77,,79.77,0,,14.94,29.31,31.48,,31.48,0,31.48,0,inf,109.6,
TOT,534,261.9,272.1,0,49.04,50.96,100,95.25,117.9,48.54,22.62,71.16,31.78,152.3,49.55,125
