name,type,thermal input [kW],λ (excess air),Q [kW],kA [kW/K],ΔT_log [K],ΔT_upper [K],ΔT_lower [K],pr_hot,pr_cold
CC,CombustionChamber,1223.397,1.2,,,,,,,
GAS_HX,HeatExchanger,,,-1101.057,1.928,570.942,1673.421,107.824,1.0,1.0
