Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],e^CH [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^CH [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^CH [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
g1,0.5059,20,1.013,293.6,6842,1.023,0,0,0,2.023,0,-0,-0,0,0,0,-0,0
g2,0.02446,20,1.013,898.8,6637,1257,5.332e-13,5.332e-13,0,5.138e+04,-0,-0,91.12,91.12,-0,0,20.14,20.14
g3,0.5304,1793,1.013,2864,8940,871.1,1614,1614,0,28.73,91.07,0,0.05095,91.12,29.56,0,0.9288,29.06
g4,0.5304,227.8,1.013,788.1,7116,53.78,72.68,72.68,0,28.73,4.102,-0,0.05095,4.153,29.56,0,0.9288,21.45
w1,0.5,120,1.987,503.8,1528,30.65,58.81,58.71,0.09752,2.498,0,0,0,0,0,0,0,0
w2,0.5,120,1.987,2706,7129,310.7,618.9,618.8,0.09752,2.498,86.97,-0,-0,91.12,78.08,-0,-0,81.46
