metric,value,unit
COP (= η_gas),0.9,-
ε (exergy efficiency),0.2227,-
E_F (fuel chemical exergy),1257.63,kW
E_P (steam exergy gain),280.06,kW
E_D (exergy destruction),923.79,kW
Q_H (steam duty),1101.06,kW
Q_gas (LHV thermal input),1223.4,kW
ṁ_CO2 (combustion),241.5111,kg/h
c_P (with CO2 charge),90.38,EUR/GJ_ex
Z_sum (retrofit ⇒ 0),0.0,EUR/h
