Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,311.9,263,48.93,0,84.31,9.199,16.87,60.31,67.64,9.462,5.539,15,36.92,12.15,53.72,71.45
COMP2,163.7,138.3,25.34,0,84.52,4.764,8.738,31.65,38.3,4.9,5.721,10.62,53.87,21,53.72,76.91
IHX,170.4,140.8,29.52,0,82.67,5.55,10.18,73.66,76.52,12.76,1.787,14.55,12.28,25.66,120.1,150.9
MOT1,328.3,311.9,16.42,0,95,3.086,5.661,59.72,60.31,2.986,0,2.986,0,1.004,50.52,53.72
MOT2,172.3,163.7,8.614,0,95,1.62,2.97,31.33,31.65,1.567,0,1.567,0,1.004,50.52,53.72
SNK_HX,253.6,241.9,11.75,0,95.37,2.21,4.053,105.2,109.2,4.873,3.631,8.505,42.7,8.909,115.2,125.4
SRC_HX,42.31,1.093e-06,42.31,0,2.584e-06,7.954,14.59,35.87,38.91,35.87,1.488,37.36,3.983,inf,235.5,9.886e+09
VAL1,92.61,11.02,81.59,0,11.9,15.34,28.13,32.89,35.87,28.98,0,28.98,0,816.5,98.66,904.2
VAL2,25.53,,25.53,0,,4.8,8.804,9.663,,9.663,0,9.663,0,inf,105.1,
TOT,531.9,241.9,290,0,45.48,54.52,100,91.05,109.2,49.64,18.17,67.81,26.79,163.8,47.55,125.4
