f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,Q_H_kW,c_P [EUR/GJ],Z_sum [EUR/h],PEC_total [kEUR],PEC [EUR/kW],V_dot_c1 [m3/h],V_dot_c2 [m3/h],E_F [kW],E_P [kW],E_D [kW],epsilon
R717,R600,R717/R600,0.3,60.0,100.0,2.513,0.404,OK,1128.2,114.788,18.3,904.3,801.5,498.7,788.2,492.86,241.88,250.98,0.491
R717,R600,R717/R600,0.4,60.0,100.0,2.503,0.402,OK,1128.2,114.938,18.102,894.5,792.8,510.0,716.3,494.56,241.88,252.68,0.489
R717,R600,R717/R600,0.4,50.0,100.0,2.516,0.438,OK,1128.2,115.051,18.607,919.5,815.0,493.0,827.2,482.14,241.88,240.27,0.502
R717,R600,R717/R600,0.5,50.0,100.0,2.506,0.437,OK,1128.2,115.092,18.339,906.2,803.2,507.2,733.6,483.74,241.88,241.86,0.5
R717,R600,R717/R600,0.5,40.0,100.0,2.516,0.472,OK,1128.2,115.386,18.899,933.9,827.8,493.0,827.2,471.41,241.88,229.53,0.513
R717,R600,R717/R600,0.3,50.0,100.0,2.514,0.438,OK,1128.2,115.503,18.952,936.5,830.1,478.6,934.5,482.4,241.88,240.52,0.501
R717,R600a,R717/R600a,0.4,60.0,100.0,2.461,0.396,OK,1128.2,115.985,17.62,870.7,771.8,504.7,618.5,501.76,241.88,259.88,0.482
R717,R600,R717/R600,0.4,40.0,100.0,2.512,0.471,OK,1128.2,115.989,19.323,954.8,846.3,475.7,957.8,471.94,241.88,230.07,0.513
R717,R600a,R717/R600a,0.3,60.0,100.0,2.462,0.396,OK,1128.2,116.118,17.764,877.8,778.1,492.4,680.2,501.61,241.88,259.74,0.482
R717,R600a,R717/R600a,0.5,50.0,100.0,2.462,0.429,OK,1128.2,116.205,17.843,881.7,781.5,501.6,633.4,491.43,241.88,249.55,0.492
R717,R600,R717/R600,0.5,30.0,100.0,2.514,0.505,OK,1128.2,116.445,19.773,977.1,866.0,478.6,934.5,460.47,241.88,218.59,0.525
R717,R600a,R717/R600a,0.4,50.0,100.0,2.46,0.428,OK,1128.2,116.53,18.039,891.4,790.1,486.1,713.5,491.89,241.88,250.01,0.492
R717,R600a,R717/R600a,0.5,40.0,100.0,2.46,0.461,OK,1128.2,116.862,18.328,905.7,802.8,486.1,713.5,481.3,241.88,239.42,0.503
R717,R600,R717/R600,0.3,40.0,100.0,2.494,0.468,OK,1128.2,117.336,19.886,982.7,871.0,458.2,1112.6,475.19,241.88,233.32,0.509
R717,R600a,R717/R600a,0.3,50.0,100.0,2.445,0.426,OK,1128.2,117.398,18.3,904.3,801.5,470.4,804.9,494.49,241.88,252.61,0.489
R717,R600,R717/R600,0.4,30.0,100.0,2.494,0.501,OK,1128.2,117.94,20.412,1008.6,894.0,458.2,1112.6,464.05,241.88,222.18,0.521
R717,R600a,R717/R600a,0.4,40.0,100.0,2.441,0.458,OK,1128.2,117.968,18.647,921.5,816.7,467.2,824.7,484.73,241.88,242.85,0.499
R717,R600a,R717/R600a,0.5,30.0,100.0,2.445,0.491,OK,1128.2,118.328,19.109,944.3,837.0,470.4,804.9,472.93,241.88,231.05,0.511
R717,R600,R717/R600,0.3,30.0,100.0,2.453,0.493,OK,1128.2,119.775,20.648,1020.3,904.4,437.3,1330.7,471.42,241.88,229.54,0.513
R717,R600a,R717/R600a,0.3,40.0,100.0,2.405,0.451,OK,1128.2,120.904,19.968,986.7,874.6,447.8,955.5,491.31,241.88,249.44,0.492
R717,R600a,R717/R600a,0.4,30.0,100.0,2.405,0.483,OK,1128.2,121.497,20.484,1012.2,897.2,447.8,955.5,480.42,241.88,238.55,0.503
R1270,R600,R1270/R600,0.3,50.0,100.0,2.318,0.404,OK,1128.2,122.774,18.375,908.0,804.8,651.9,934.5,518.66,241.88,276.78,0.466
R717,R600a,R717/R600a,0.3,30.0,100.0,2.345,0.471,OK,1128.2,123.289,19.842,980.5,869.1,424.5,1138.5,492.34,241.88,250.46,0.491
R1270,R600,R1270/R600,0.5,30.0,100.0,2.318,0.466,OK,1128.2,123.758,19.231,950.3,842.3,651.9,934.5,497.85,241.88,255.98,0.486
R1270,R600,R1270/R600,0.3,40.0,100.0,2.368,0.444,OK,1128.2,123.775,21.135,1044.4,925.7,592.9,1112.6,498.41,241.88,256.54,0.485
R1270,R600,R1270/R600,0.4,30.0,100.0,2.368,0.476,OK,1128.2,124.414,21.691,1071.9,950.1,592.9,1112.6,487.63,241.88,245.76,0.496
R290,R600,R290/R600,0.3,40.0,100.0,2.381,0.447,OK,1128.2,124.633,22.326,1103.2,977.9,711.8,1112.6,496.05,241.88,254.17,0.488
R1270,R600,R1270/R600,0.4,40.0,100.0,2.328,0.437,OK,1128.2,124.982,20.675,1021.7,905.6,642.9,957.8,506.46,241.88,264.59,0.478
R1270,R600,R1270/R600,0.3,30.0,100.0,2.378,0.478,OK,1128.2,124.999,22.54,1113.8,987.2,541.2,1330.7,485.8,241.88,243.92,0.498
R290,R600,R290/R600,0.4,30.0,100.0,2.381,0.478,OK,1128.2,125.277,22.887,1131.0,1002.4,711.8,1112.6,485.23,241.88,243.35,0.498
R1270,R600,R1270/R600,0.4,50.0,100.0,2.254,0.393,OK,1128.2,125.427,18.166,897.7,795.7,700.2,827.2,531.87,241.88,289.99,0.455
R1270,R600,R1270/R600,0.5,40.0,100.0,2.254,0.423,OK,1128.2,125.768,18.463,912.4,808.7,700.2,827.2,521.89,241.88,280.01,0.463
R290,R600,R290/R600,0.4,40.0,100.0,2.343,0.439,OK,1128.2,125.798,21.95,1084.7,961.4,773.3,957.8,503.45,241.88,261.58,0.48
R290,R600,R290/R600,0.3,50.0,100.0,2.333,0.406,OK,1128.2,125.813,21.61,1067.8,946.5,784.3,934.5,515.56,241.88,273.69,0.469
R290,R600,R290/R600,0.3,30.0,100.0,2.387,0.48,OK,1128.2,125.883,23.652,1168.8,1036.0,648.2,1330.7,483.94,241.88,242.07,0.5
R1270,R600a,R1270/R600a,0.3,40.0,100.0,2.291,0.43,OK,1128.2,126.718,20.77,1026.4,909.7,579.5,955.5,514.01,241.88,272.13,0.471
R1270,R600a,R1270/R600a,0.4,50.0,100.0,2.212,0.385,OK,1128.2,126.764,17.606,870.0,771.1,690.5,713.5,540.92,241.88,299.05,0.447
R290,R600,R290/R600,0.5,30.0,100.0,2.333,0.469,OK,1128.2,126.806,22.475,1110.6,984.4,784.3,934.5,494.66,241.88,252.79,0.489
R1270,R600a,R1270/R600a,0.5,40.0,100.0,2.212,0.415,OK,1128.2,127.102,17.899,884.5,784.0,690.5,713.5,531.08,241.88,289.21,0.455
R1270,R600a,R1270/R600a,0.3,50.0,100.0,2.262,0.394,OK,1128.2,127.245,20.083,992.4,879.6,640.7,804.9,530.12,241.88,288.25,0.456
R1270,R600a,R1270/R600a,0.4,40.0,100.0,2.269,0.426,OK,1128.2,127.308,20.416,1008.9,894.2,631.4,824.7,518.63,241.88,276.75,0.466
R1270,R600a,R1270/R600a,0.4,30.0,100.0,2.291,0.46,OK,1128.2,127.345,21.317,1053.4,933.7,579.5,955.5,503.47,241.88,261.59,0.48
