f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,component,PEC [EUR],PEC [EUR/kW]
R1270,R600,R1270/R600,0.5,20.0,100.0,2.135,0.486,OK,SNK_HX,177418.3,157.26
R1270,R600,R1270/R600,0.5,20.0,100.0,2.135,0.486,OK,SRC_HX,110273.2,97.74
R1270,R600,R1270/R600,0.5,30.0,100.0,2.318,0.466,OK,COMP1,254770.2,225.82
R1270,R600,R1270/R600,0.5,30.0,100.0,2.318,0.466,OK,COMP2,313315.9,277.71
R1270,R600,R1270/R600,0.5,30.0,100.0,2.318,0.466,OK,IHX,87059.4,77.17
R1270,R600,R1270/R600,0.5,30.0,100.0,2.318,0.466,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.5,30.0,100.0,2.318,0.466,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.5,30.0,100.0,2.318,0.466,OK,SNK_HX,178450.3,158.17
R1270,R600,R1270/R600,0.5,30.0,100.0,2.318,0.466,OK,SRC_HX,116711.1,103.45
R1270,R600,R1270/R600,0.5,40.0,100.0,2.254,0.423,OK,COMP1,273693.1,242.59
R1270,R600,R1270/R600,0.5,40.0,100.0,2.254,0.423,OK,COMP2,282715.3,250.59
R1270,R600,R1270/R600,0.5,40.0,100.0,2.254,0.423,OK,IHX,88283.5,78.25
R1270,R600,R1270/R600,0.5,40.0,100.0,2.254,0.423,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.5,40.0,100.0,2.254,0.423,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.5,40.0,100.0,2.254,0.423,OK,SNK_HX,179441.0,159.05
R1270,R600,R1270/R600,0.5,40.0,100.0,2.254,0.423,OK,SRC_HX,88220.5,78.2
R1270,R600a,R1270/R600a,0.3,20.0,100.0,2.064,0.47,OK,COMP1,235584.3,208.81
R1270,R600a,R1270/R600a,0.3,20.0,100.0,2.064,0.47,OK,COMP2,451092.3,399.83
R1270,R600a,R1270/R600a,0.3,20.0,100.0,2.064,0.47,OK,IHX,189906.4,168.33
R1270,R600a,R1270/R600a,0.3,20.0,100.0,2.064,0.47,OK,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.3,20.0,100.0,2.064,0.47,OK,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.3,20.0,100.0,2.064,0.47,OK,SNK_HX,179765.3,159.34
R1270,R600a,R1270/R600a,0.3,20.0,100.0,2.064,0.47,OK,SRC_HX,106398.8,94.31
R1270,R600a,R1270/R600a,0.3,30.0,100.0,2.278,0.458,OK,COMP1,208159.5,184.51
R1270,R600a,R1270/R600a,0.3,30.0,100.0,2.278,0.458,OK,COMP2,381359.7,338.02
R1270,R600a,R1270/R600a,0.3,30.0,100.0,2.278,0.458,OK,IHX,203122.7,180.04
R1270,R600a,R1270/R600a,0.3,30.0,100.0,2.278,0.458,OK,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.3,30.0,100.0,2.278,0.458,OK,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.3,30.0,100.0,2.278,0.458,OK,SNK_HX,181015.3,160.45
R1270,R600a,R1270/R600a,0.3,30.0,100.0,2.278,0.458,OK,SRC_HX,113932.9,100.99
R1270,R600a,R1270/R600a,0.3,40.0,100.0,2.291,0.43,OK,COMP1,228250.7,202.31
R1270,R600a,R1270/R600a,0.3,40.0,100.0,2.291,0.43,OK,COMP2,326005.4,288.96
R1270,R600a,R1270/R600a,0.3,40.0,100.0,2.291,0.43,OK,IHX,201746.4,178.82
R1270,R600a,R1270/R600a,0.3,40.0,100.0,2.291,0.43,OK,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.3,40.0,100.0,2.291,0.43,OK,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.3,40.0,100.0,2.291,0.43,OK,SNK_HX,182324.1,161.61
R1270,R600a,R1270/R600a,0.3,40.0,100.0,2.291,0.43,OK,SRC_HX,88028.3,78.03
R1270,R600a,R1270/R600a,0.3,50.0,100.0,2.262,0.394,OK,COMP1,251575.1,222.99
R1270,R600a,R1270/R600a,0.3,50.0,100.0,2.262,0.394,OK,COMP2,281098.7,249.16
R1270,R600a,R1270/R600a,0.3,50.0,100.0,2.262,0.394,OK,IHX,202776.7,179.73
R1270,R600a,R1270/R600a,0.3,50.0,100.0,2.262,0.394,OK,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.3,50.0,100.0,2.262,0.394,OK,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.3,50.0,100.0,2.262,0.394,OK,SNK_HX,183584.0,162.72
R1270,R600a,R1270/R600a,0.3,50.0,100.0,2.262,0.394,OK,SRC_HX,73348.0,65.01
R1270,R600a,R1270/R600a,0.4,20.0,100.0,2.093,0.477,OK,COMP1,262369.8,232.56
R1270,R600a,R1270/R600a,0.4,20.0,100.0,2.093,0.477,OK,COMP2,372682.4,330.33
R1270,R600a,R1270/R600a,0.4,20.0,100.0,2.093,0.477,OK,IHX,188664.2,167.23
R1270,R600a,R1270/R600a,0.4,20.0,100.0,2.093,0.477,OK,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.4,20.0,100.0,2.093,0.477,OK,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.4,20.0,100.0,2.093,0.477,OK,SNK_HX,181201.6,160.61
R1270,R600a,R1270/R600a,0.4,20.0,100.0,2.093,0.477,OK,SRC_HX,108024.3,95.75
R1270,R600a,R1270/R600a,0.4,30.0,100.0,2.291,0.46,OK,COMP1,228250.7,202.31
R1270,R600a,R1270/R600a,0.4,30.0,100.0,2.291,0.46,OK,COMP2,326005.4,288.96
R1270,R600a,R1270/R600a,0.4,30.0,100.0,2.291,0.46,OK,IHX,201746.4,178.82
R1270,R600a,R1270/R600a,0.4,30.0,100.0,2.291,0.46,OK,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.4,30.0,100.0,2.291,0.46,OK,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.4,30.0,100.0,2.291,0.46,OK,SNK_HX,182324.1,161.61
R1270,R600a,R1270/R600a,0.4,30.0,100.0,2.291,0.46,OK,SRC_HX,115025.4,101.95
R1270,R600a,R1270/R600a,0.4,40.0,100.0,2.269,0.426,OK,COMP1,248000.8,219.82
R1270,R600a,R1270/R600a,0.4,40.0,100.0,2.269,0.426,OK,COMP2,286983.4,254.37
R1270,R600a,R1270/R600a,0.4,40.0,100.0,2.269,0.426,OK,IHX,202473.5,179.47
R1270,R600a,R1270/R600a,0.4,40.0,100.0,2.269,0.426,OK,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.4,40.0,100.0,2.269,0.426,OK,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.4,40.0,100.0,2.269,0.426,OK,SNK_HX,183410.1,162.57
R1270,R600a,R1270/R600a,0.4,40.0,100.0,2.269,0.426,OK,SRC_HX,87990.0,77.99
R1270,R600a,R1270/R600a,0.4,50.0,100.0,2.212,0.385,OK,COMP1,270928.9,240.14
R1270,R600a,R1270/R600a,0.4,50.0,100.0,2.212,0.385,OK,COMP2,253937.7,225.08
R1270,R600a,R1270/R600a,0.4,50.0,100.0,2.212,0.385,OK,IHX,87958.8,77.96
R1270,R600a,R1270/R600a,0.4,50.0,100.0,2.212,0.385,OK,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.4,50.0,100.0,2.212,0.385,OK,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.4,50.0,100.0,2.212,0.385,OK,SNK_HX,184413.8,163.46
