label,stream,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
g1,air (in),air inlet,CC,0.518379,20.0,1.0132,293.56,6.8422,0.430446,0.0,0.0,0.0
g2,CH4 fuel (in),fuel inlet,CC,0.025058,20.0,1.0132,898.822,6.6368,0.037503,0.0,0.0,0.0
g3,combustion products,CC,GAS_HX,0.543437,1793.42,1.0132,2864.165,8.9403,3.300192,1613812.3,0.0,1613812.3
g4,flue gas (out),GAS_HX,exhaust outlet,0.543437,227.82,1.0132,788.115,7.1156,0.800052,72681.54,0.0,72681.54
w1,water (in),water inlet,GAS_HX,0.5,100.0,1.0142,419.166,1.3072,0.000522,38857.9,0.09,38858.0
w2,steam (out),GAS_HX,steam outlet,0.5,100.0,1.0142,2675.57,7.3541,0.835883,522610.54,0.09,522610.64
